,(MC=1),(MC=0),(B=1|MC=1),(B=0|MC=1),(B=1|MC=0),(B=0|MC=0),(ISC=1|MC=1),(ISC=0|MC=1),(ISC=1|MC=0),(ISC=0|MC=0),"(C=1|B=1, ISC=1)","(C=0|B=1, ISC=1)","(C=1|B=1, ISC=0)","(C=0|B=1, ISC=0)","(C=1|B=0, ISC=1)","(C=0|B=0, ISC=1)","(C=1|B=0, ISC=0)","(C=0|B=0, ISC=0)",(SH=1|B=1),(SH=0|B=1),(SH=1|B=0),(SH=0|B=0),(CT=1|B=1),(CT=0|B=1),(CT=1|B=0),(CT=0|B=0),"C = 0 | B = 0, ISC = 0","C = 0 | B = 0, ISC = 1","C = 0 | B = 1, ISC = 0","C = 0 | B = 1, ISC = 1","C = 1 | B = 0, ISC = 0","C = 1 | B = 0, ISC = 1","C = 1 | B = 1, ISC = 0","C = 1 | B = 1, ISC = 1",CT = 0 | B = 0,CT = 0 | B = 1,CT = 1 | B = 0,CT = 1 | B = 1,SH = 0 | B = 0,SH = 0 | B = 1,SH = 1 | B = 0,SH = 1 | B = 1,B = 0 | MC = 0,B = 0 | MC = 1,B = 1 | MC = 0,B = 1 | MC = 1,ISC = 0 | MC = 0,ISC = 0 | MC = 1,ISC = 1 | MC = 0,ISC = 1 | MC = 1,MC = 0,MC = 1
(MC=1|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(MC=0|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(B=1|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.245004513516506e-17,1.734723475976807e-18,8.239936510889832e-18,2.059984127722458e-18,0.0,0.0,0.0,0.0,4.857225732735059e-17,0.0,0.0,8.239936510889832e-18,0.0,0.0,0.0,0.0,0.9999999999999993,0.0,1.0,0.0,2.0816681711721685e-17,0.0,6.938893903907228e-18,0.0,0.0,0.0
(B=0|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24500451351651e-17,1.7347234759768082e-18,8.239936510889832e-18,2.059984127722458e-18,0.0,0.0,0.0,0.0,4.857225732735063e-17,0.0,0.0,8.239936510889832e-18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.08166817117217e-17,0.0,6.938893903907233e-18,0.0,0.0,0.0
(ISC=1|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.498001805406602e-16,2.7755575615628907e-17,1.734723475976807e-18,1.7347234759768067e-18,0.0,0.0,0.0,0.0,2.983724378680108e-16,0.0,0.0,4.7704895589362195e-18,0.0,2.1684043449710085e-18,3.4694469519536136e-17,0.0,6.938893903907224e-18,0.0,0.0,0.0,1.0000000000000004,0.0,1.0,0.0,0.0,0.0
(ISC=0|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4980018054066007e-16,2.7755575615628914e-17,1.734723475976806e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,1.1934897514720433e-15,0.0,0.0,1.9081958235744878e-17,0.0,8.673617379884034e-18,1.3877787807814454e-16,0.0,2.7755575615628895e-17,0.0,0.0,0.0,1.0000000000000002,0.0,0.9999999999999998,0.0,0.0,0.0
(C=1|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599999999999998,0.19,0.04000000000000001,0.010000000000000002,0.76,0.19,0.04000000000000001,0.010000000000000002,3.275157922644212e-16,0.0,0.0,2.4025920142278775e-17,0.0,8.673617379884034e-18,3.4694469519536136e-17,0.0,0.5999999999999992,0.0,0.6000000000000001,0.0,0.7125000000000004,0.0,0.7125,0.0,0.0,0.0
(C=0|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759999999999999,0.18999999999999997,0.04,0.01,0.76,0.19000000000000006,0.04000000000000001,0.010000000000000002,1.1643463970756328e-15,0.0,0.0,1.7347234759768084e-19,0.0,2.1684043449710085e-18,1.3877787807814454e-16,0.0,0.6,0.0,0.6000000000000001,0.0,0.7125,0.0,0.7124999999999996,0.0,0.0,0.0
(SH=1|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7894353493707045e-16,3.8163916471489736e-18,5.2909066017292606e-18,1.3227266504323151e-18,0.0,3.4694469519536136e-17,1.7347234759768068e-17,4.336808689942017e-18,1.762479051592435e-16,0.0,0.0,2.0729945537922844e-17,0.95,0.05,0.95,0.05,0.2000000000000001,0.0,0.20000000000000015,0.0,2.3592239273284594e-17,0.0,8.465450562766817e-17,0.0,0.0,0.0
(SH=0|MC=0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.442490654175345e-16,2.2204460492503126e-17,3.3827107781547738e-18,8.456776945386934e-19,0.0,2.6020852139652106e-17,4.336808689942017e-18,1.0842021724855042e-18,5.870304242705515e-16,0.0,0.0,3.1225022567582525e-18,0.95,0.05,0.95,0.050000000000000024,0.19999999999999996,0.0,0.2,0.0,9.298117831235689e-17,0.0,5.412337245047638e-17,0.0,0.0,0.0
