,MC = 1,MC = 0,B = 1 | MC = 1,B = 0 | MC = 1,B = 1 | MC = 0,B = 0 | MC = 0,ISC = 1 | MC = 1,ISC = 0 | MC = 1,ISC = 1 | MC = 0,ISC = 0 | MC = 0,"C = 1 | B = 1, ISC = 1","C = 0 | B = 1, ISC = 1","C = 1 | B = 1, ISC = 0","C = 0 | B = 1, ISC = 0","C = 1 | B = 0, ISC = 1","C = 0 | B = 0, ISC = 1","C = 1 | B = 0, ISC = 0","C = 0 | B = 0, ISC = 0",SH = 1 | B = 1,SH = 0 | B = 1,SH = 1 | B = 0,SH = 0 | B = 0,CT = 1 | B = 1,CT = 0 | B = 1,CT = 1 | B = 0,CT = 0 | B = 0
MC = 1 | B = 0,0.897920604914934,0.8979206049149341,0.17958412098298682,0.1795841209829868,0.15122873345935733,0.15122873345935733,0.0,0.0,2.098720273393491e-17,6.296160820180473e-17,0.0,0.0,0.0,0.0,0.0,3.0169103930031426e-17,0.0,1.6396252135886623e-18,0.0,0.0,2.098720273393491e-17,0.0,0.0,0.0,5.1156306663966336e-17,1.9281992511802694e-16
MC = 0 | B = 0,0.8979206049149341,0.8979206049149342,0.1795841209829868,0.1795841209829868,0.15122873345935742,0.1512287334593573,0.0,0.0,2.098720273393491e-17,6.296160820180472e-17,0.0,0.0,0.0,0.0,0.0,3.0169103930031426e-17,0.0,9.863985284949406e-16,0.0,0.0,9.96892129861908e-17,0.0,0.0,0.0,9.96892129861908e-17,1.0441133360132616e-15
B = 1 | B = 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B = 0 | B = 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISC = 1 | B = 0,0.5387523629489605,0.5387523629489603,0.10775047258979208,0.10775047258979208,0.0907372400756144,0.0907372400756144,0.1739130434782609,0.1739130434782609,0.8260869565217391,0.8260869565217392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6727604784386085e-17,0.0,0.0,3.6727604784386085e-17,0.0,0.0,0.0,9.706581264444893e-17,3.751462488690864e-16
ISC = 0 | B = 0,0.5387523629489605,0.5387523629489605,0.10775047258979206,0.10775047258979208,0.09073724007561434,0.09073724007561439,0.17391304347826095,0.1739130434782609,0.8260869565217391,0.8260869565217392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6727604784386085e-17,0.0,0.0,8.394881093573963e-17,0.0,0.0,0.0,2.0462522665586534e-16,7.712797004721077e-16
C = 1 | B = 0,0.40406427221172025,0.4040642722117204,0.08081285444234407,0.08081285444234407,0.06805293005671081,0.06805293005671084,0.13043478260869565,0.13043478260869568,0.6195652173913044,0.6195652173913044,0.0,0.0,0.0,0.0,0.30434782608695654,0.30434782608695654,0.6956521739130436,0.695652173913043,0.0,0.0,9.391773223435871e-17,0.0,0.0,0.0,3.3579524374295856e-17,1.8783546446871743e-16
C = 0 | B = 0,0.4040642722117204,0.40406427221172025,0.08081285444234407,0.08081285444234407,0.06805293005671076,0.06805293005671077,0.13043478260869573,0.13043478260869568,0.6195652173913042,0.6195652173913047,0.0,0.0,0.0,0.0,0.30434782608695665,0.30434782608695654,0.6956521739130436,0.6956521739130436,0.0,0.0,8.709689134582987e-17,0.0,0.0,0.0,8.709689134582987e-17,2.9487019841178546e-16
SH = 1 | B = 0,3.279250427177329e-17,3.771137991253928e-16,3.279250427177329e-17,3.279250427177329e-17,1.3117001708709316e-16,1.3117001708709316e-16,0.0,0.0,1.2067641572012574e-17,3.6202924716037745e-17,0.0,0.0,0.0,0.0,1.206764157201257e-16,0.0,0.0,4.706380213084902e-16,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,7.240584943207543e-17,9.654113257610057e-17
SH = 0 | B = 0,6.558500854354658e-17,1.6396252135886645e-16,1.6396252135886645e-17,2.4594378203829967e-17,6.558500854354658e-17,9.017938674737655e-17,0.0,1.5084551965015713e-17,1.0860877414811314e-16,1.4481169886415088e-16,0.0,0.0,0.0,0.0,3.0169103930031426e-17,0.0,0.0,1.3274405729213828e-16,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,4.8270566288050295e-17,3.620292471603774e-17
CT = 1 | B = 0,1.6396252135886645e-17,4.099063033971661e-17,4.099063033971661e-18,6.148594550957492e-18,1.6396252135886645e-17,2.2544846686844137e-17,0.0,3.771137991253928e-18,2.7152193537028285e-17,3.620292471603772e-17,0.0,0.0,0.0,0.0,7.542275982507857e-18,0.0,0.0,3.318601432303457e-17,0.0,0.0,1.2067641572012574e-17,0.0,0.0,0.0,1.0000000000000002,1.0000000000000004
CT = 0 | B = 0,1.6396252135886645e-16,2.951325384459596e-16,3.279250427177329e-17,6.558500854354658e-17,1.3117001708709316e-16,1.9675502563063974e-16,3.0169103930031426e-17,0.0,2.292851898682389e-16,8.44734910040881e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499616055883646e-16,0.0,0.0,1.0860877414811315e-16,0.0,0.0,0.0,1.0000000000000002,0.9999999999999999
