,MC = 1,MC = 0,B = 1 | MC = 1,B = 0 | MC = 1,B = 1 | MC = 0,B = 0 | MC = 0,ISC = 1 | MC = 1,ISC = 0 | MC = 1,ISC = 1 | MC = 0,ISC = 0 | MC = 0,"C = 1 | B = 1, ISC = 1","C = 0 | B = 1, ISC = 1","C = 1 | B = 1, ISC = 0","C = 0 | B = 1, ISC = 0","C = 1 | B = 0, ISC = 1","C = 0 | B = 0, ISC = 1","C = 1 | B = 0, ISC = 0","C = 0 | B = 0, ISC = 0",SH = 1 | B = 1,SH = 0 | B = 1,SH = 1 | B = 0,SH = 0 | B = 0,CT = 1 | B = 1,CT = 0 | B = 1,CT = 1 | B = 0,CT = 0 | B = 0
MC = 1 | C = 0,0.5328719723183394,0.5328719723183393,0.03996539792387545,0.03996539792387538,0.06643598615916957,0.06643598615916957,0.15986159169550182,0.15986159169550174,0.07889273356401383,0.07889273356401383,0.04152249134948098,0.041522491349480974,0.006228373702422146,0.0062283737024221445,0.14948096885813156,0.1494809688581315,0.04152249134948099,0.041522491349480974,0.0,2.07086366509342e-18,1.0204255741040041e-17,1.0204255741040041e-17,6.212590995280259e-18,0.0,0.0,5.162152904290845e-18
MC = 0 | C = 0,0.5328719723183392,0.5328719723183395,0.03996539792387545,0.039965397923875386,0.06643598615916947,0.06643598615916947,0.15986159169550182,0.15986159169550176,0.07889273356401373,0.07889273356401373,0.04152249134948099,0.041522491349480974,0.00622837370242216,0.006228373702422153,0.1494809688581315,0.14948096885813156,0.04152249134948095,0.041522491349480925,0.0,2.0708636650934204e-18,1.6326809185664065e-16,0.0,6.2125909952802615e-18,0.0,0.0,6.377059587812317e-16
B = 1 | C = 0,0.05968858131487892,0.059688581314878905,0.05986159169550173,0.05986159169550175,0.25190311418685124,0.251903114186851,0.0041522491349481,0.0041522491349480955,0.01972318339100346,0.019723183391003457,0.057439446366782033,0.05743944636678201,0.057439446366782033,0.05743944636678201,0.009688581314878895,0.009688581314878894,0.02214532871972319,0.02214532871972319,0.0,4.9820778029783726e-18,0.0,0.0,1.4946233408935117e-17,0.0,0.0,3.841602161332722e-18
B = 0 | C = 0,0.05968858131487893,0.05968858131487891,0.05986159169550171,0.05986159169550179,0.25190311418685124,0.25190311418685124,0.004152249134948107,0.004152249134948077,0.019723183391003613,0.019723183391003794,0.05743944636678203,0.05743944636678201,0.05743944636678203,0.05743944636678201,0.009688581314878916,0.009688581314878916,0.022145328719723238,0.022145328719723207,0.0,4.9820778029783726e-18,0.0,0.0,1.4946233408935117e-17,0.0,0.0,3.841602161332724e-18
ISC = 1 | C = 0,0.23875432525951568,0.23875432525951562,0.004152249134948109,0.004152249134948092,0.06643598615916957,0.06643598615916954,0.07543252595155711,0.0754325259515571,0.3141868512110727,0.31418685121107276,0.053287197231833935,0.053287197231833915,0.005536332179930799,0.005536332179930797,0.3730103806228375,0.37301038062283737,0.08858131487889276,0.08858131487889276,0.0,2.07086366509342e-18,0.0,0.0,6.212590995280259e-18,0.0,0.0,5.042102836749194e-18
ISC = 0 | C = 0,0.23875432525951537,0.23875432525951581,0.004152249134948092,0.004152249134948145,0.0664359861591696,0.06643598615917091,0.07543252595155713,0.07543252595155713,0.31418685121107265,0.3141868512110728,0.05328719723183393,0.053287197231833915,0.005536332179930802,0.005536332179930802,0.3730103806228374,0.37301038062283737,0.08858131487889283,0.08858131487889281,0.0,2.0708636650934196e-18,1.6326809185664065e-16,0.0,6.2125909952802584e-18,0.0,0.0,6.377059587812317e-16
C = 1 | C = 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C = 0 | C = 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH = 1 | C = 0,0.011937716262975955,0.01193771626297586,0.011972318339100363,0.011972318339100339,0.050380622837370256,0.05038062283737063,0.0008304498269896244,0.0008304498269896094,0.003944636678200554,0.003944636678200554,0.011487889273356401,0.011487889273356408,0.011487889273356401,0.011487889273356408,0.0019377162629757353,0.0019377162629757652,0.0044290657439445035,0.004429065743944601,0.023529411764705882,0.023529411764705885,0.9764705882352942,0.9764705882352942,1.6254779145139076e-17,2.5510639352600102e-18,0.0,2.619972674028916e-16
SH = 0 | C = 0,0.011937716262975594,0.011937716262975755,0.011972318339100339,0.011972318339100368,0.050380622837370256,0.05038062283737059,0.0008304498269896094,0.0008304498269896169,0.003944636678200795,0.0039446366782009,0.011487889273356408,0.011487889273356406,0.011487889273356408,0.011487889273356406,0.0019377162629758253,0.0019377162629757652,0.004429065743944684,0.004429065743944639,0.023529411764705892,0.02352941176470588,0.9764705882352942,0.9764705882352942,3.271364340509893e-19,6.377659838150026e-19,0.0,6.453891631038973e-17
