,MC = 1,MC = 0,B = 1 | MC = 1,B = 0 | MC = 1,B = 1 | MC = 0,B = 0 | MC = 0,ISC = 1 | MC = 1,ISC = 0 | MC = 1,ISC = 1 | MC = 0,ISC = 0 | MC = 0,"C = 1 | B = 1, ISC = 1","C = 0 | B = 1, ISC = 1","C = 1 | B = 1, ISC = 0","C = 0 | B = 1, ISC = 0","C = 1 | B = 0, ISC = 1","C = 0 | B = 0, ISC = 1","C = 1 | B = 0, ISC = 0","C = 0 | B = 0, ISC = 0",SH = 1 | B = 1,SH = 0 | B = 1,SH = 1 | B = 0,SH = 0 | B = 0,CT = 1 | B = 1,CT = 0 | B = 1,CT = 1 | B = 0,CT = 0 | B = 0
MC = 1 | CT = 1,1.363201530612245,1.3632015306122456,0.6866496598639455,0.6866496598639458,1.3010204081632655,1.3010204081632644,1.1210797973999771e-16,0.0,0.0,2.6551889938420513e-17,6.195440985631453e-17,3.39274149213151e-17,1.5488602464078632e-17,1.8438812457236468e-17,2.802699493499943e-17,0.0,2.581433744013105e-18,5.3841332375130484e-17,0.0,1.475104996578917e-17,2.065146995210484e-17,0.0,0.08503401360544215,0.08503401360544217,0.8078231292517011,0.8078231292517009
MC = 0 | CT = 1,1.363201530612245,1.3632015306122454,0.6866496598639455,0.6866496598639455,1.3010204081632655,1.301020408163264,1.1210797973999771e-16,0.0,0.0,2.6551889938420507e-17,1.5488602464078632e-17,3.318986242302563e-17,6.195440985631453e-17,4.867846488710427e-17,2.9502099931578365e-18,1.032573497605242e-17,0.0,1.2095860971947128e-16,0.0,1.475104996578917e-17,8.260587980841936e-17,0.0,0.08503401360544215,0.08503401360544215,0.8078231292517006,0.8078231292517019
B = 1 | CT = 1,0.5048894557823128,0.5048894557823129,0.6731859410430839,0.6731859410430839,2.6927437641723357,2.6927437641723366,7.473865315999847e-17,4.130293990420968e-17,4.130293990420968e-17,3.7369326579999235e-17,0.0,2.2618276614210067e-17,0.0,2.2618276614210067e-17,1.8684663289999618e-17,0.0,0.0,1.1210797973999771e-16,0.0,4.5236553228420134e-17,0.0,0.0,0.26077097505668934,0.26077097505668934,2.4773242630385486,2.4773242630385495
B = 0 | CT = 1,0.504889455782313,0.5048894557823134,0.6731859410430839,0.6731859410430839,2.6927437641723357,2.6927437641723335,9.047310645684027e-17,2.065146995210484e-17,8.260587980841936e-17,4.5236553228420134e-17,0.0,2.2618276614210067e-17,0.0,2.2618276614210067e-17,1.8684663289999618e-17,0.0,0.0,1.1210797973999771e-16,0.0,4.5236553228420134e-17,0.0,0.0,0.26077097505668934,0.26077097505668934,2.4773242630385486,2.477324263038551
ISC = 1 | CT = 1,0.8179209183673466,0.8179209183673473,0.41198979591836726,0.4119897959183672,0.7806122448979593,0.7806122448979587,0.32142857142857145,0.3214285714285714,0.6785714285714285,0.6785714285714286,0.0,2.5076784941841592e-17,0.0,1.622615496236809e-17,2.5076784941841592e-17,0.0,0.0,9.735692977420855e-17,0.0,8.850629979473502e-18,0.0,0.0,0.05102040816326531,0.05102040816326532,0.4846938775510207,0.4846938775510211
ISC = 0 | CT = 1,0.8179209183673469,0.8179209183673473,0.4119897959183674,0.4119897959183674,0.7806122448979589,0.7806122448979587,0.3214285714285714,0.3214285714285714,0.6785714285714285,0.6785714285714285,0.0,2.5076784941841592e-17,0.0,1.622615496236809e-17,2.5076784941841592e-17,0.0,0.0,9.735692977420855e-17,0.0,8.850629979473502e-18,8.260587980841936e-17,0.0,0.05102040816326529,0.051020408163265266,0.48469387755102034,0.484693877551025
C = 1 | CT = 1,0.48469387755102017,0.4846938775510202,0.30697278911564624,0.3069727891156464,1.4421768707482994,1.4421768707482954,0.07142857142857144,0.07142857142857144,0.33928571428571425,0.33928571428571436,0.22619047619047616,0.22619047619047622,0.22619047619047616,0.22619047619047622,0.16666666666666669,0.16666666666666666,0.38095238095238093,0.3809523809523808,1.2390881971262906e-16,8.378596380568251e-17,0.0,0.0,0.13605442176870752,0.13605442176870752,1.2925170068027207,1.292517006802723
C = 0 | CT = 1,0.4846938775510203,0.4846938775510206,0.30697278911564624,0.3069727891156461,1.4421768707482991,1.4421768707482978,0.07142857142857138,0.07142857142857142,0.33928571428571425,0.3392857142857144,0.22619047619047628,0.22619047619047614,0.22619047619047628,0.22619047619047614,0.16666666666666669,0.16666666666666666,0.38095238095238093,0.3809523809523809,3.0977204928157264e-17,5.044859088299896e-17,0.0,0.0,0.1360544217687074,0.1360544217687074,1.2925170068027212,1.292517006802723
SH = 1 | CT = 1,0.10097789115646236,0.10097789115646248,0.13463718820861664,0.13463718820861684,0.5385487528344666,0.5385487528344686,1.1407478640210293e-16,0.0,8.260587980841936e-17,5.703739320105147e-17,6.195440985631453e-17,4.9170166552630574e-17,6.195440985631453e-17,4.9170166552630574e-17,7.867226648420891e-18,0.0,0.0,2.832201593431521e-16,0.45238095238095233,0.45238095238095244,0.5476190476190477,0.5476190476190477,0.05215419501133792,0.052154195011337945,0.4954648526077099,0.4954648526077094
SH = 0 | CT = 1,0.10097789115646265,0.10097789115646269,0.13463718820861678,0.13463718820861684,0.5385487528344671,0.538548752834467,4.081123823868338e-17,0.0,4.130293990420968e-17,2.5568486607367903e-17,1.5488602464078632e-17,1.794711079171016e-17,1.5488602464078632e-17,1.794711079171016e-17,2.4585083276315304e-18,0.0,0.0,1.5046070965104955e-16,0.45238095238095255,0.45238095238095233,0.5476190476190477,0.5476190476190477,0.052154195011337875,0.05215419501133787,0.4954648526077098,0.4954648526077094
