Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-CT|-B),0.68,P(MC),0.0·x + 0.2,-0.0·x + 0.2,(-0.04·xy + 0.03·x + 0.04·y + 0.18)
P(-B|-MC),P(-CT|-B),0.68,P(-MC),-0.0·x + 0.8,-0.0·x + 0.8,(-0.04·xy + 0.04·x + 0.0·y + 0.8)
P(-B|-MC),P(-CT|-B),0.68,P(ISC),0.0·x + 0.32,-0.0·x + 0.32,(0.0·xy + -0.0·x + -0.0·y + 0.32)
P(-B|-MC),P(-CT|-B),0.68,P(-ISC),-0.0·x + 0.68,-0.0·x + 0.68,(0.0·xy + -0.0·x + 0.0·y + 0.68)
P(-B|-MC),P(-CT|-B),0.68,P(C),-0.48·x + 0.78,0.0·x + 0.73,(0.0·xy + -0.48·x + -0.0·y + 0.78)
P(-B|-MC),P(-CT|-B),0.68,P(-C),0.48·x + 0.22,-0.0·x + 0.66,(0.0·xy + 0.48·x + -0.0·y + 0.22)
P(-B|-MC),P(-CT|-B),0.68,P(SH),-0.16·x + 0.77,0.0·x + 0.62,(0.0·xy + -0.16·x + -0.0·y + 0.77)
P(-B|-MC),P(-CT|-B),0.68,P(-SH),0.16·x + 0.23,-0.0·x + 0.33,(-0.0·xy + 0.16·x + -0.0·y + 0.23)
P(-B|-MC),P(-CT|-B),0.85,P(ISC|-MC),(-0.01·x + -0.2)/(-0.06·x + -0.98),(0.17·x + 0.09)/(0.87·x + 0.46),(0.04·xy + -0.05·x + -0.03.y + 0.18) / (0.2·xy + -0.24·x + -0.14·y + 0.92)
P(-B|-MC),P(-CT|-B),0.85,P(-ISC|-MC),(0.09·x + 0.62)/(0.11·x + 0.77),(0.04·x + -0.62)/(0.05·x + -0.78),(-0.04·xy + 0.29·x + -0.28.y + 0.48) / (-0.05·xy + 0.36·x + -0.35·y + 0.6)
P(-B|-MC),P(-CT|-B),0.85,P(C|-MC),(0.42·x + -0.57)/(-0.0·x + -0.71),(-0.26·x + -0.31)/(-0.59·x + -0.7),(0.14·xy + -0.07·x + 0.11.y + -0.05) / (0.87·xy + -0.45·x + 0.0·y + -0.0)
P(-B|-MC),P(-CT|-B),0.85,P(-C|-MC),(-0.51·x + -0.17)/(0.0·x + -0.85),(0.31·x + 0.17)/(0.82·x + 0.45),(-0.37·xy + 0.29·x + 0.08.y + -0.06) / (-0.66·xy + 0.51·x + 0.21·y + -0.16)
P(-B|-MC),P(-CT|-B),0.85,P(SH|-MC),(0.51·x + 0.07)/(0.86·x + 0.05),(0.44·x + -0.29)/(0.7·x + -0.47),(0.21·xy + 0.46·x + 0.04.y + 0.05) / (0.43·xy + 0.74·x + 0.01·y + 0.05)
P(-B|-MC),P(-CT|-B),0.85,P(-SH|-MC),(-0.36·x + 0.04)/(-0.93·x + 0.06),(-0.24·x + 0.26)/(-0.64·x + 0.68),(-0.2·xy + -0.31·x + 0.04.y + 0.03) / (-0.46·xy + -0.81·x + 0.03·y + 0.06)
P(-B|-MC),P(-CT|-B),0.8,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-CT|-B),0.8,P(-MC|-ISC),(0.71·x + 0.01)/(0.71·x + 0.01),(0.51·x + 0.49)/(0.51·x + 0.49),(0.4·xy + -0.58·x + 0.07.y + -0.03) / (0.4·xy + -0.58·x + 0.07·y + -0.03)
P(-B|-MC),P(-CT|-B),0.8,P(C|-ISC),(0.51·x + -0.54)/(0.0·x + -0.67),(-0.3·x + -0.14)/(-0.86·x + -0.4),(-0.2·xy + 0.06·x + -0.1.y + 0.03) / (-0.93·xy + 0.27·x + -0.07·y + 0.02)
P(-B|-MC),P(-CT|-B),0.8,P(-C|-ISC),(-0.59·x + -0.16)/(0.0·x + -0.79),(0.34·x + -0.43)/(0.52·x + -0.65),(0.49·xy + -0.23·x + -0.2.y + 0.09) / (0.66·xy + -0.31·x + -0.32·y + 0.15)
P(-B|-MC),P(-CT|-B),0.8,P(SH|-ISC),(0.51·x + 0.07)/(0.86·x + 0.05),(0.19·x + 0.49)/(0.31·x + 0.79),(0.34·xy + 0.38·x + 0.02.y + 0.06) / (0.46·xy + 0.72·x + 0.05·y + 0.02)
P(-B|-MC),P(-CT|-B),0.8,P(-SH|-ISC),(-0.36·x + 0.04)/(-0.93·x + 0.06),(0.04·x + 0.21)/(0.19·x + 0.96),(-0.13·xy + -0.35·x + 0.03.y + 0.04) / (-0.26·xy + -0.89·x + 0.02·y + 0.06)
P(-B|-MC),P(-CT|-B),1.445,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-CT|-B),1.445,P(-MC|C),(0.71·x + 0.01)/(0.71·x + 0.01),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.49·xy + 0.5·x + -0.08.y + -0.05) / (-0.49·xy + 0.5·x + -0.08·y + -0.05)
P(-B|-MC),P(-CT|-B),1.445,P(ISC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-CT|-B),1.445,P(-ISC|C),(-0.66·x + -0.27)/(-0.66·x + -0.27),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.1·xy + 0.7·x + -0.03.y + -0.02) / (-0.1·xy + 0.7·x + -0.03·y + -0.02)
P(-B|-MC),P(-CT|-B),1.445,P(SH|C),(-0.4·x + -0.44)/(-0.61·x + -0.53),(-0.0·x + 0.62)/(-0.0·x + 0.78),(0.13·xy + 0.38·x + 0.24.y + 0.36) / (0.38·xy + 0.48·x + 0.26·y + 0.45)
P(-B|-MC),P(-CT|-B),1.445,P(-SH|C),(-0.25·x + -0.11)/(-0.69·x + -0.67),(-0.25·x + 0.09)/(-0.9·x + 0.34),(0.19·xy + 0.19·x + -0.01.y + 0.12) / (0.24·xy + 0.64·x + 0.26·y + 0.61)
P(-B|-MC),P(-CT|-B),0.8602,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-CT|-B),0.8602,P(-MC|SH),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.43·xy + 0.45·x + -0.25.y + -0.22) / (-0.43·xy + 0.45·x + -0.25·y + -0.22)
P(-B|-MC),P(-CT|-B),0.8602,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
