Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(CT|-B),0.68,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|-B),0.68,P(-MC),0.0·x + 1.0,-0.0·x + 1.0,(-0.01·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|-B),0.68,P(ISC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|-B),0.68,P(-ISC),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-B|-MC),P(CT|-B),0.68,P(C),-0.0·x + 1.0,-0.0·x + 1.0,(-0.23·xy + 0.16·x + 0.21·y + 0.85)
P(-B|-MC),P(CT|-B),0.68,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|-B),0.68,P(SH),-0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + -0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|-B),0.68,P(-SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|-B),0.85,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|-B),0.85,P(-ISC|-MC),(0.67·x + -0.24)/(0.67·x + -0.24),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.63·xy + 0.17·x + -0.25.y + -0.1) / (0.63·xy + 0.17·x + -0.25·y + -0.1)
P(-B|-MC),P(CT|-B),0.85,P(C|-MC),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.16·x + 0.69)/(0.16·x + 0.69),(0.41·xy + -0.2·x + 0.53.y + -0.09) / (0.41·xy + -0.2·x + 0.53·y + -0.09)
P(-B|-MC),P(CT|-B),0.85,P(-C|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|-B),0.85,P(SH|-MC),(-0.66·x + -0.24)/(-0.66·x + -0.24),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.26·xy + -0.22·x + 0.62.y + 0.01) / (0.26·xy + -0.22·x + 0.62·y + 0.01)
P(-B|-MC),P(CT|-B),0.85,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
