Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(CT|B),0.68,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|B),0.68,P(-MC),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|B),0.68,P(ISC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|B),0.68,P(-ISC),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|B),0.68,P(C),-0.0·x + 1.0,-0.0·x + 1.0,(-0.03·xy + 0.0·x + 0.01·y + 1.0)
P(-B|-MC),P(CT|B),0.68,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|B),0.68,P(SH),-0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|B),0.68,P(-SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-B|-MC),P(CT|B),0.85,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|B),0.85,P(-ISC|-MC),(-0.33·x + -0.62)/(-0.33·x + -0.62),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.63·xy + -0.23·x + 0.19.y + 0.12) / (0.63·xy + -0.23·x + 0.19·y + 0.12)
P(-B|-MC),P(CT|B),0.85,P(C|-MC),(0.7·x + 0.09)/(0.7·x + 0.09),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.3·xy + -0.64·x + 0.04.y + 0.02) / (-0.3·xy + -0.64·x + 0.04·y + 0.02)
P(-B|-MC),P(CT|B),0.85,P(-C|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(CT|B),0.85,P(SH|-MC),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.69·x + -0.16)/(-0.69·x + -0.16),(0.31·xy + 0.5·x + 0.35.y + -0.19) / (0.31·xy + 0.5·x + 0.35·y + -0.19)
