Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-C|-B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^-ISC),0.6,P(-ISC|-MC),(0.51·x + 0.49)/(0.51·x + 0.49),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.5·xy + -0.22·x + 0.09.y + 0.44) / (-0.5·xy + -0.22·x + 0.09·y + 0.44)
P(-B|-MC),P(-C|-B^-ISC),0.6,P(SH|-MC),(0.71·x + 0.01)/(0.71·x + 0.01),(0.51·x + 0.49)/(0.51·x + 0.49),(0.01·xy + 0.7·x + -0.01.y + -0.08) / (0.01·xy + 0.7·x + -0.01·y + -0.08)
P(-B|-MC),P(-C|-B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^-ISC),0.6,P(CT|-MC),(0.14·x + 0.34)/(0.35·x + 0.86),(-0.16·x + -0.33)/(-0.41·x + -0.83),(-0.33·xy + -0.01·x + -0.16.y + -0.09) / (-0.82·xy + -0.03·x + -0.39·y + -0.21)
P(-B|-MC),P(-C|-B^-ISC),0.6,P(-CT|-MC),(-0.02·x + 0.51)/(-0.03·x + 0.86),(0.51·x + 0.05)/(0.85·x + 0.09),(-0.33·xy + -0.28·x + -0.08.y + 0.26) / (-0.55·xy + -0.47·x + -0.13·y + 0.43)
P(-B|-MC),P(-C|-B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^-ISC),0.7059,P(-MC|-ISC),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.58·xy + -0.34·x + 0.17.y + 0.13) / (0.58·xy + -0.34·x + 0.17·y + 0.13)
P(-B|-MC),P(-C|-B^-ISC),0.7059,P(SH|-ISC),(0.7·x + 0.06)/(0.7·x + 0.06),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.18·xy + 0.32·x + -0.61.y + 0.04) / (-0.18·xy + 0.32·x + -0.61·y + 0.04)
P(-B|-MC),P(-C|-B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^-ISC),0.7059,P(CT|-ISC),(-0.36·x + -0.08)/(-0.91·x + -0.2),(-0.23·x + -0.29)/(-0.58·x + -0.72),(-0.1·xy + 0.12·x + -0.31.y + -0.13) / (-0.25·xy + 0.29·x + -0.78·y + -0.34)
P(-B|-MC),P(-C|-B^-ISC),0.7059,P(-CT|-ISC),(0.51·x + -0.05)/(0.85·x + -0.08),(-0.27·x + 0.43)/(-0.46·x + 0.72),(-0.25·xy + 0.05·x + -0.32.y + -0.32) / (-0.41·xy + 0.08·x + -0.53·y + -0.53)
