Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-C|-B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.6,P(-ISC|-MC),(-0.34·x + 0.62)/(-0.34·x + 0.62),(0.71·x + -0.02)/(0.71·x + -0.02),(0.45·xy + -0.48·x + 0.25.y + -0.0) / (0.45·xy + -0.48·x + 0.25·y + -0.0)
P(-B|-MC),P(-C|-B^ISC),0.6,P(SH|-MC),(0.7·x + 0.09)/(0.7·x + 0.09),(0.51·x + 0.49)/(0.51·x + 0.49),(0.07·xy + -0.67·x + -0.22.y + 0.04) / (0.07·xy + -0.67·x + -0.22·y + 0.04)
P(-B|-MC),P(-C|-B^ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.6,P(CT|-MC),(0.7·x + 0.06)/(0.7·x + 0.06),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.02·xy + 0.55·x + 0.42.y + 0.11) / (-0.02·xy + 0.55·x + 0.42·y + 0.11)
P(-B|-MC),P(-C|-B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.7059,P(-MC|-ISC),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.13·xy + -0.61·x + 0.33.y + 0.04) / (0.13·xy + -0.61·x + 0.33·y + 0.04)
P(-B|-MC),P(-C|-B^ISC),0.7059,P(SH|-ISC),(0.71·x + -0.02)/(0.71·x + -0.02),(0.7·x + -0.09)/(0.7·x + -0.09),(-0.19·xy + -0.67·x + -0.12.y + -0.04) / (-0.19·xy + -0.67·x + -0.12·y + -0.04)
P(-B|-MC),P(-C|-B^ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.7059,P(CT|-ISC),(0.67·x + -0.24)/(0.67·x + -0.24),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.06·xy + 0.34·x + -0.62.y + 0.04) / (0.06·xy + 0.34·x + -0.62·y + 0.04)
P(-B|-MC),P(-C|-B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.589,P(-MC|SH),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.1·xy + 0.7·x + -0.01.y + -0.05) / (0.1·xy + 0.7·x + -0.01·y + -0.05)
P(-B|-MC),P(-C|-B^ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),0.589,P(-ISC|SH),(0.51·x + 0.49)/(0.51·x + 0.49),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.2·xy + -0.68·x + -0.0.y + 0.02) / (-0.2·xy + -0.68·x + -0.0·y + 0.02)
P(-B|-MC),P(-C|-B^ISC),0.589,P(CT|SH),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.51·xy + -0.47·x + -0.01.y + 0.14) / (-0.51·xy + -0.47·x + -0.01·y + 0.14)
P(-B|-MC),P(-C|-B^ISC),0.589,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),1.4422,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),1.4422,P(-MC|CT),(0.7·x + 0.09)/(0.7·x + 0.09),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.49·xy + -0.35·x + -0.32.y + -0.17) / (-0.49·xy + -0.35·x + -0.32·y + -0.17)
P(-B|-MC),P(-C|-B^ISC),1.4422,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|-B^ISC),1.4422,P(-ISC|CT),(0.7·x + -0.06)/(0.7·x + -0.06),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.66·xy + -0.01·x + 0.21.y + 0.16) / (-0.66·xy + -0.01·x + 0.21·y + 0.16)
