Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-C|B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^-ISC),0.6,P(-ISC|-MC),(0.7·x + 0.06)/(0.7·x + 0.06),(0.71·x + 0.01)/(0.71·x + 0.01),(0.51·xy + -0.36·x + -0.29.y + 0.16) / (0.51·xy + -0.36·x + -0.29·y + 0.16)
P(-B|-MC),P(-C|B^-ISC),0.6,P(SH|-MC),(0.67·x + -0.24)/(0.67·x + -0.24),(0.71·x + 0.05)/(0.71·x + 0.05),(-0.3·xy + 0.64·x + -0.05.y + -0.06) / (-0.3·xy + 0.64·x + -0.05·y + -0.06)
P(-B|-MC),P(-C|B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^-ISC),0.6,P(CT|-MC),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.71·x + 0.05)/(0.71·x + 0.05),(0.68·xy + 0.17·x + 0.07.y + -0.01) / (0.68·xy + 0.17·x + 0.07·y + -0.01)
P(-B|-MC),P(-C|B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^-ISC),0.7059,P(-MC|-ISC),(0.7·x + 0.09)/(0.7·x + 0.09),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.02·xy + 0.22·x + 0.67.y + 0.0) / (-0.02·xy + 0.22·x + 0.67·y + 0.0)
P(-B|-MC),P(-C|B^-ISC),0.7059,P(SH|-ISC),(0.51·x + 0.49)/(0.51·x + 0.49),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.32·xy + 0.57·x + -0.25.y + -0.08) / (-0.32·xy + 0.57·x + -0.25·y + -0.08)
P(-B|-MC),P(-C|B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
