Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-C|B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.6,P(-ISC|-MC),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.66·x + -0.27)/(-0.66·x + -0.27),(-0.23·xy + 0.62·x + -0.24.y + 0.1) / (-0.23·xy + 0.62·x + -0.24·y + 0.1)
P(-B|-MC),P(-C|B^ISC),0.6,P(SH|-MC),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.54·xy + 0.2·x + -0.4.y + -0.11) / (0.54·xy + 0.2·x + -0.4·y + -0.11)
P(-B|-MC),P(-C|B^ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.6,P(CT|-MC),(0.7·x + -0.1)/(0.7·x + -0.1),(0.67·x + -0.22)/(0.67·x + -0.22),(-0.69·xy + -0.08·x + -0.12.y + -0.04) / (-0.69·xy + -0.08·x + -0.12·y + -0.04)
P(-B|-MC),P(-C|B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.7059,P(-MC|-ISC),(-0.69·x + -0.15)/(-0.69·x + -0.15),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.57·xy + -0.4·x + 0.13.y + 0.02) / (-0.57·xy + -0.4·x + 0.13·y + 0.02)
P(-B|-MC),P(-C|B^ISC),0.7059,P(SH|-ISC),(-0.69·x + -0.15)/(-0.69·x + -0.15),(0.67·x + -0.24)/(0.67·x + -0.24),(-0.7·xy + -0.11·x + -0.02.y + 0.03) / (-0.7·xy + -0.11·x + -0.02·y + 0.03)
P(-B|-MC),P(-C|B^ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.7059,P(CT|-ISC),(-0.71·x + -0.02)/(-0.71·x + -0.02),(-0.69·x + -0.15)/(-0.69·x + -0.15),(0.56·xy + -0.14·x + -0.41.y + -0.02) / (0.56·xy + -0.14·x + -0.41·y + -0.02)
P(-B|-MC),P(-C|B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.589,P(-MC|SH),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.33·x + -0.62)/(-0.33·x + -0.62),(-0.31·xy + 0.63·x + 0.06.y + -0.01) / (-0.31·xy + 0.63·x + 0.06·y + -0.01)
P(-B|-MC),P(-C|B^ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-C|B^ISC),0.589,P(-ISC|SH),(-0.71·x + -0.02)/(-0.71·x + -0.02),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.54·xy + 0.27·x + 0.36.y + -0.07) / (-0.54·xy + 0.27·x + 0.36·y + -0.07)
