Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(C|-B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.6,P(-ISC|-MC),(0.71·x + 0.02)/(0.71·x + 0.02),(0.7·x + 0.12)/(0.7·x + 0.12),(0.04·xy + -0.3·x + -0.64.y + -0.0) / (0.04·xy + -0.3·x + -0.64·y + -0.0)
P(-B|-MC),P(C|-B^-ISC),0.6,P(SH|-MC),(-0.69·x + -0.15)/(-0.69·x + -0.15),(0.68·x + 0.19)/(0.68·x + 0.19),(0.27·xy + -0.35·x + 0.55.y + 0.0) / (0.27·xy + -0.35·x + 0.55·y + 0.0)
P(-B|-MC),P(C|-B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.6,P(CT|-MC),(0.71·x + 0.02)/(0.71·x + 0.02),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.24·xy + 0.06·x + -0.66.y + 0.05) / (-0.24·xy + 0.06·x + -0.66·y + 0.05)
P(-B|-MC),P(C|-B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.7059,P(-MC|-ISC),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.59·xy + 0.13·x + 0.37.y + 0.0) / (0.59·xy + 0.13·x + 0.37·y + 0.0)
P(-B|-MC),P(C|-B^-ISC),0.7059,P(SH|-ISC),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.59·xy + 0.37·x + -0.12.y + -0.01) / (-0.59·xy + 0.37·x + -0.12·y + -0.01)
P(-B|-MC),P(C|-B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.7059,P(CT|-ISC),(0.71·x + 0.05)/(0.71·x + 0.05),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.69·xy + -0.09·x + -0.11.y + -0.02) / (-0.69·xy + -0.09·x + -0.11·y + -0.02)
P(-B|-MC),P(C|-B^-ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.589,P(-MC|SH),(0.67·x + -0.22)/(0.67·x + -0.22),(0.7·x + -0.1)/(0.7·x + -0.1),(0.39·xy + -0.55·x + 0.19.y + -0.06) / (0.39·xy + -0.55·x + 0.19·y + -0.06)
P(-B|-MC),P(C|-B^-ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^-ISC),0.589,P(-ISC|SH),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.34·xy + -0.51·x + -0.35.y + 0.02) / (-0.34·xy + -0.51·x + -0.35·y + 0.02)
