Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(C|-B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^ISC),0.6,P(-ISC|-MC),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.06·xy + 0.64·x + -0.27.y + -0.09) / (0.06·xy + 0.64·x + -0.27·y + -0.09)
P(-B|-MC),P(C|-B^ISC),0.6,P(SH|-MC),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.63·xy + -0.29·x + 0.12.y + -0.0) / (-0.63·xy + -0.29·x + 0.12·y + -0.0)
P(-B|-MC),P(C|-B^ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^ISC),0.6,P(CT|-MC),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.69·x + -0.16)/(-0.69·x + -0.16),(0.18·xy + -0.06·x + 0.68.y + 0.01) / (0.18·xy + -0.06·x + 0.68·y + 0.01)
P(-B|-MC),P(C|-B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|-B^ISC),0.7059,P(-MC|-ISC),(0.71·x + 0.05)/(0.71·x + 0.05),(-0.7·x + -0.09)/(-0.7·x + -0.09),(-0.56·xy + -0.36·x + 0.22.y + 0.08) / (-0.56·xy + -0.36·x + 0.22·y + 0.08)
P(-B|-MC),P(C|-B^ISC),0.7059,P(SH|-ISC),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.43·xy + 0.08·x + 0.5.y + 0.24) / (0.43·xy + 0.08·x + 0.5·y + 0.24)
P(-B|-MC),P(C|-B^ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
