Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(C|B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^-ISC),0.6,P(-ISC|-MC),(0.7·x + -0.1)/(0.7·x + -0.1),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.29·xy + 0.63·x + 0.11.y + 0.05) / (-0.29·xy + 0.63·x + 0.11·y + 0.05)
P(-B|-MC),P(C|B^-ISC),0.6,P(SH|-MC),(0.67·x + -0.24)/(0.67·x + -0.24),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.56·xy + -0.01·x + 0.43.y + 0.04) / (-0.56·xy + -0.01·x + 0.43·y + 0.04)
P(-B|-MC),P(C|B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^-ISC),0.6,P(CT|-MC),(0.7·x + 0.09)/(0.7·x + 0.09),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.58·xy + 0.39·x + -0.07.y + 0.07) / (-0.58·xy + 0.39·x + -0.07·y + 0.07)
P(-B|-MC),P(C|B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^-ISC),0.7059,P(-MC|-ISC),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.68·x + 0.19)/(0.68·x + 0.19),(-0.39·xy + -0.57·x + 0.1.y + 0.14) / (-0.39·xy + -0.57·x + 0.1·y + 0.14)
P(-B|-MC),P(C|B^-ISC),0.7059,P(SH|-ISC),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.69·xy + -0.01·x + 0.14.y + 0.0) / (-0.69·xy + -0.01·x + 0.14·y + 0.0)
P(-B|-MC),P(C|B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
