Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(C|B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.6,P(-ISC|-MC),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.32·xy + -0.63·x + -0.05.y + 0.02) / (-0.32·xy + -0.63·x + -0.05·y + 0.02)
P(-B|-MC),P(C|B^ISC),0.6,P(SH|-MC),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.64·xy + 0.24·x + -0.11.y + -0.12) / (0.64·xy + 0.24·x + -0.11·y + -0.12)
P(-B|-MC),P(C|B^ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.6,P(CT|-MC),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.67·x + -0.23)/(0.67·x + -0.23),(0.69·xy + -0.09·x + -0.02.y + 0.1) / (0.69·xy + -0.09·x + -0.02·y + 0.1)
P(-B|-MC),P(C|B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.7059,P(-MC|-ISC),(0.67·x + -0.24)/(0.67·x + -0.24),(0.7·x + -0.1)/(0.7·x + -0.1),(0.24·xy + 0.66·x + -0.02.y + -0.07) / (0.24·xy + 0.66·x + -0.02·y + -0.07)
P(-B|-MC),P(C|B^ISC),0.7059,P(SH|-ISC),(0.7·x + 0.09)/(0.7·x + 0.09),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.28·xy + -0.6·x + 0.02.y + 0.25) / (-0.28·xy + -0.6·x + 0.02·y + 0.25)
P(-B|-MC),P(C|B^ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.7059,P(CT|-ISC),(0.71·x + -0.02)/(0.71·x + -0.02),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.39·xy + 0.58·x + -0.1.y + -0.01) / (-0.39·xy + 0.58·x + -0.1·y + -0.01)
P(-B|-MC),P(C|B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.589,P(-MC|SH),(0.7·x + -0.06)/(0.7·x + -0.06),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.13·xy + -0.6·x + 0.33.y + 0.11) / (-0.13·xy + -0.6·x + 0.33·y + 0.11)
P(-B|-MC),P(C|B^ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(C|B^ISC),0.589,P(-ISC|SH),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.3·xy + 0.53·x + 0.35.y + 0.08) / (-0.3·xy + 0.53·x + 0.35·y + 0.08)
P(-B|-MC),P(C|B^ISC),0.589,P(CT|SH),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.62·xy + 0.14·x + -0.3.y + -0.04) / (0.62·xy + 0.14·x + -0.3·y + -0.04)
