Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-ISC|-MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|-MC),1.2,P(-MC|C),(-0.33·x + -0.62)/(-0.33·x + -0.62),(0.71·x + -0.02)/(0.71·x + -0.02),(0.21·xy + -0.64·x + -0.19.y + 0.08) / (0.21·xy + -0.64·x + -0.19·y + 0.08)
P(-B|-MC),P(-ISC|-MC),1.2,P(SH|C),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.71·x + -0.02)/(-0.71·x + -0.02),(-0.05·xy + -0.01·x + -0.6.y + -0.38) / (-0.05·xy + -0.01·x + -0.6·y + -0.38)
P(-B|-MC),P(-ISC|-MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|-MC),1.2,P(CT|C),(0.7·x + -0.1)/(0.7·x + -0.1),(0.7·x + -0.09)/(0.7·x + -0.09),(-0.02·xy + -0.71·x + 0.01.y + -0.04) / (-0.02·xy + -0.71·x + 0.01·y + -0.04)
P(-B|-MC),P(-ISC|-MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|-MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|-MC),0.7806,P(-MC|CT),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.15·xy + -0.6·x + -0.33.y + -0.08) / (0.15·xy + -0.6·x + -0.33·y + -0.08)
P(-B|-MC),P(-ISC|-MC),0.7806,P(C|CT),(-0.71·x + -0.02)/(-0.71·x + -0.02),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.69·xy + 0.1·x + 0.04.y + 0.07) / (0.69·xy + 0.1·x + 0.04·y + 0.07)
P(-B|-MC),P(-ISC|-MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|-MC),0.7806,P(SH|CT),(0.51·x + 0.49)/(0.51·x + 0.49),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.44·xy + 0.1·x + -0.54.y + 0.02) / (-0.44·xy + 0.1·x + -0.54·y + 0.02)
P(-B|-MC),P(-ISC|-MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
