Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-ISC|MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|MC),1.2,P(-MC|C),(0.7·x + 0.07)/(0.7·x + 0.07),(0.71·x + 0.02)/(0.71·x + 0.02),(-0.25·xy + -0.66·x + 0.01.y + 0.01) / (-0.25·xy + -0.66·x + 0.01·y + 0.01)
P(-B|-MC),P(-ISC|MC),1.2,P(SH|C),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.67·x + -0.24)/(0.67·x + -0.24),(0.54·xy + -0.45·x + -0.03.y + -0.06) / (0.54·xy + -0.45·x + -0.03·y + -0.06)
P(-B|-MC),P(-ISC|MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|MC),1.2,P(CT|C),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.69·xy + 0.15·x + 0.06.y + -0.02) / (0.69·xy + 0.15·x + 0.06·y + -0.02)
P(-B|-MC),P(-ISC|MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|MC),0.7806,P(-MC|CT),(-0.68·x + 0.18)/(-0.68·x + 0.18),(0.67·x + -0.24)/(0.67·x + -0.24),(0.25·xy + -0.66·x + 0.02.y + -0.01) / (0.25·xy + -0.66·x + 0.02·y + -0.01)
P(-B|-MC),P(-ISC|MC),0.7806,P(C|CT),(0.67·x + -0.24)/(0.67·x + -0.24),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.3·xy + 0.64·x + 0.01.y + 0.07) / (-0.3·xy + 0.64·x + 0.01·y + 0.07)
P(-B|-MC),P(-ISC|MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-ISC|MC),0.7806,P(SH|CT),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.49·xy + 0.45·x + 0.21.y + -0.1) / (0.49·xy + 0.45·x + 0.21·y + -0.1)
P(-B|-MC),P(-ISC|MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
