Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(ISC|-MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|-MC),1.2,P(-MC|C),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.36·xy + 0.5·x + -0.31.y + -0.15) / (0.36·xy + 0.5·x + -0.31·y + -0.15)
P(-B|-MC),P(ISC|-MC),1.2,P(SH|C),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.7·x + 0.12)/(0.7·x + 0.12),(0.14·xy + 0.45·x + -0.53.y + 0.05) / (0.14·xy + 0.45·x + -0.53·y + 0.05)
P(-B|-MC),P(ISC|-MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|-MC),1.2,P(CT|C),(0.7·x + -0.09)/(0.7·x + -0.09),(0.7·x + -0.12)/(0.7·x + -0.12),(0.13·xy + -0.69·x + -0.01.y + -0.07) / (0.13·xy + -0.69·x + -0.01·y + -0.07)
P(-B|-MC),P(ISC|-MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|-MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|-MC),0.7806,P(-MC|CT),(0.71·x + 0.02)/(0.71·x + 0.02),(0.69·x + 0.16)/(0.69·x + 0.16),(0.29·xy + -0.47·x + -0.43.y + 0.09) / (0.29·xy + -0.47·x + -0.43·y + 0.09)
P(-B|-MC),P(ISC|-MC),0.7806,P(C|CT),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.07·xy + 0.67·x + -0.22.y + -0.02) / (0.07·xy + 0.67·x + -0.22·y + -0.02)
P(-B|-MC),P(ISC|-MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|-MC),0.7806,P(SH|CT),(-0.34·x + 0.62)/(-0.34·x + 0.62),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.2·xy + -0.49·x + 0.29.y + 0.36) / (-0.2·xy + -0.49·x + 0.29·y + 0.36)
P(-B|-MC),P(ISC|-MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
