Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(ISC|MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|MC),1.2,P(-MC|C),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.66·xy + -0.26·x + -0.06.y + -0.01) / (0.66·xy + -0.26·x + -0.06·y + -0.01)
P(-B|-MC),P(ISC|MC),1.2,P(SH|C),(0.67·x + -0.22)/(0.67·x + -0.22),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.08·xy + -0.69·x + -0.03.y + 0.1) / (-0.08·xy + -0.69·x + -0.03·y + 0.1)
P(-B|-MC),P(ISC|MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|MC),1.2,P(CT|C),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.54·xy + -0.17·x + 0.43.y + 0.0) / (0.54·xy + -0.17·x + 0.43·y + 0.0)
P(-B|-MC),P(ISC|MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|MC),0.7806,P(-MC|CT),(-0.34·x + 0.62)/(-0.34·x + 0.62),(0.67·x + -0.23)/(0.67·x + -0.23),(0.1·xy + -0.02·x + 0.7.y + -0.02) / (0.1·xy + -0.02·x + 0.7·y + -0.02)
P(-B|-MC),P(ISC|MC),0.7806,P(C|CT),(0.51·x + 0.49)/(0.51·x + 0.49),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.52·xy + -0.44·x + -0.21.y + 0.01) / (-0.52·xy + -0.44·x + -0.21·y + 0.01)
P(-B|-MC),P(ISC|MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(ISC|MC),0.7806,P(SH|CT),(-0.66·x + -0.24)/(-0.66·x + -0.24),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.39·xy + 0.3·x + 0.49.y + -0.14) / (-0.39·xy + 0.3·x + 0.49·y + -0.14)
P(-B|-MC),P(ISC|MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
