Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(-MC),0.6375,P(ISC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-MC),0.6375,P(-ISC|C),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.05·xy + -0.7·x + 0.09.y + -0.0) / (0.05·xy + -0.7·x + 0.09·y + -0.0)
P(-B|-MC),P(-MC),0.6375,P(SH|C),(0.7·x + 0.07)/(0.7·x + 0.07),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.13·xy + 0.66·x + 0.22.y + -0.04) / (-0.13·xy + 0.66·x + 0.22·y + -0.04)
P(-B|-MC),P(-MC),0.6375,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-MC),0.6375,P(CT|C),(0.7·x + 0.07)/(0.7·x + 0.07),(0.7·x + -0.06)/(0.7·x + -0.06),(0.47·xy + 0.13·x + 0.51.y + 0.04) / (0.47·xy + 0.13·x + 0.51·y + 0.04)
P(-B|-MC),P(-MC),0.6375,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-MC),1.301,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-MC),1.301,P(-ISC|CT),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.71·x + 0.01)/(0.71·x + 0.01),(0.02·xy + 0.67·x + 0.11.y + -0.19) / (0.02·xy + 0.67·x + 0.11·y + -0.19)
P(-B|-MC),P(-MC),1.301,P(C|CT),(0.7·x + -0.06)/(0.7·x + -0.06),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.68·xy + -0.01·x + -0.19.y + -0.06) / (-0.68·xy + -0.01·x + -0.19·y + -0.06)
P(-B|-MC),P(-MC),1.301,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(-MC),1.301,P(SH|CT),(0.71·x + -0.02)/(0.71·x + -0.02),(0.51·x + 0.49)/(0.51·x + 0.49),(0.44·xy + -0.16·x + 0.5.y + 0.16) / (0.44·xy + -0.16·x + 0.5·y + 0.16)
P(-B|-MC),P(-MC),1.301,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
