Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(MC),0.6375,P(ISC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(MC),0.6375,P(-ISC|C),(0.71·x + 0.01)/(0.71·x + 0.01),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.11·xy + -0.24·x + -0.65.y + 0.1) / (-0.11·xy + -0.24·x + -0.65·y + 0.1)
P(-B|-MC),P(MC),0.6375,P(SH|C),(0.7·x + -0.09)/(0.7·x + -0.09),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.46·xy + 0.52·x + 0.12.y + -0.08) / (-0.46·xy + 0.52·x + 0.12·y + -0.08)
P(-B|-MC),P(MC),0.6375,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(MC),0.6375,P(CT|C),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.69·xy + 0.13·x + 0.07.y + -0.02) / (-0.69·xy + 0.13·x + 0.07·y + -0.02)
P(-B|-MC),P(MC),0.6375,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(MC),1.301,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(MC),1.301,P(-ISC|CT),(0.67·x + -0.24)/(0.67·x + -0.24),(0.69·x + 0.16)/(0.69·x + 0.16),(0.16·xy + -0.58·x + -0.36.y + 0.07) / (0.16·xy + -0.58·x + -0.36·y + 0.07)
P(-B|-MC),P(MC),1.301,P(C|CT),(0.51·x + 0.49)/(0.51·x + 0.49),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.13·xy + -0.69·x + 0.12.y + 0.01) / (0.13·xy + -0.69·x + 0.12·y + 0.01)
P(-B|-MC),P(MC),1.301,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(MC),1.301,P(SH|CT),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.07·xy + 0.7·x + -0.09.y + -0.06) / (-0.07·xy + 0.7·x + -0.09·y + -0.06)
P(-B|-MC),P(MC),1.301,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
