Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-CT|-B),0.68,P(MC),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(B|-MC),P(-CT|-B),0.68,P(-MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|-B),0.68,P(ISC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|-B),0.68,P(-ISC),-0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|-B),0.68,P(C),-0.0·x + 1.0,-0.0·x + 1.0,(-0.05·xy + 0.0·x + 0.03·y + 1.0)
P(B|-MC),P(-CT|-B),0.68,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|-B),0.68,P(SH),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|-B),0.68,P(-SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|-B),0.85,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|-B),0.85,P(-ISC|-MC),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.56·xy + 0.43·x + -0.05.y + -0.03) / (-0.56·xy + 0.43·x + -0.05·y + -0.03)
P(B|-MC),P(-CT|-B),0.85,P(C|-MC),(0.68·x + 0.19)/(0.68·x + 0.19),(0.71·x + -0.02)/(0.71·x + -0.02),(0.7·xy + -0.11·x + -0.01.y + -0.01) / (0.7·xy + -0.11·x + -0.01·y + -0.01)
P(B|-MC),P(-CT|-B),0.85,P(-C|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|-B),0.85,P(SH|-MC),(0.69·x + -0.14)/(0.69·x + -0.14),(0.67·x + -0.22)/(0.67·x + -0.22),(0.66·xy + 0.22·x + 0.07.y + -0.11) / (0.66·xy + 0.22·x + 0.07·y + -0.11)
P(B|-MC),P(-CT|-B),0.85,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|-B),0.8,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|-B),0.8,P(-MC|-ISC),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.71·x + -0.02)/(-0.71·x + -0.02),(0.34·xy + -0.62·x + 0.03.y + 0.05) / (0.34·xy + -0.62·x + 0.03·y + 0.05)
