Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-CT|B),0.68,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|B),0.68,P(-MC),-0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + -0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|B),0.68,P(ISC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|B),0.68,P(-ISC),-0.0·x + 1.0,0.0·x + 1.0,(-0.05·xy + 0.0·x + 0.04·y + 1.0)
P(B|-MC),P(-CT|B),0.68,P(C),0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|B),0.68,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|B),0.68,P(SH),-0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|B),0.68,P(-SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(-CT|B),0.85,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|B),0.85,P(-ISC|-MC),(0.69·x + -0.14)/(0.69·x + -0.14),(0.51·x + 0.49)/(0.51·x + 0.49),(-0.31·xy + -0.59·x + -0.12.y + 0.2) / (-0.31·xy + -0.59·x + -0.12·y + 0.2)
P(B|-MC),P(-CT|B),0.85,P(C|-MC),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.68·x + 0.18)/(-0.68·x + 0.18),(-0.71·xy + -0.01·x + 0.0.y + 0.03) / (-0.71·xy + -0.01·x + 0.0·y + 0.03)
P(B|-MC),P(-CT|B),0.85,P(-C|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-CT|B),0.85,P(SH|-MC),(-0.7·x + -0.09)/(-0.7·x + -0.09),(-0.33·x + -0.62)/(-0.33·x + -0.62),(-0.57·xy + 0.39·x + -0.12.y + -0.08) / (-0.57·xy + 0.39·x + -0.12·y + -0.08)
