Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(CT|-B),0.68,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|-B),0.68,P(-MC),0.0·x + 1.0,-0.0·x + 1.0,(-0.17·xy + 0.07·x + 0.15·y + 0.94)
P(B|-MC),P(CT|-B),0.68,P(ISC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|-B),0.68,P(-ISC),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(B|-MC),P(CT|-B),0.68,P(C),-0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),0.68,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|-B),0.68,P(SH),0.0·x + 1.0,-0.0·x + 1.0,(-0.17·xy + 0.15·x + 0.07·y + 0.94)
P(B|-MC),P(CT|-B),0.68,P(-SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|-B),0.85,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),0.85,P(-ISC|-MC),(-0.7·x + -0.09)/(-0.7·x + -0.09),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.57·xy + 0.35·x + 0.24.y + -0.03) / (-0.57·xy + 0.35·x + 0.24·y + -0.03)
P(B|-MC),P(CT|-B),0.85,P(C|-MC),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.31·x + -0.63)/(-0.31·x + -0.63),(-0.69·xy + 0.12·x + -0.11.y + 0.01) / (-0.69·xy + 0.12·x + -0.11·y + 0.01)
P(B|-MC),P(CT|-B),0.85,P(-C|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),0.85,P(SH|-MC),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.69·x + 0.16)/(0.69·x + 0.16),(0.65·xy + -0.27·x + 0.06.y + 0.01) / (0.65·xy + -0.27·x + 0.06·y + 0.01)
P(B|-MC),P(CT|-B),0.85,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),0.8,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),0.8,P(-MC|-ISC),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.71·xy + -0.05·x + -0.01.y + -0.0) / (-0.71·xy + -0.05·x + -0.01·y + -0.0)
P(B|-MC),P(CT|-B),0.8,P(C|-ISC),(0.7·x + -0.12)/(0.7·x + -0.12),(0.68·x + 0.19)/(0.68·x + 0.19),(-0.57·xy + 0.36·x + -0.14.y + -0.16) / (-0.57·xy + 0.36·x + -0.14·y + -0.16)
P(B|-MC),P(CT|-B),0.8,P(-C|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),0.8,P(SH|-ISC),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.66·xy + -0.26·x + 0.03.y + 0.02) / (0.66·xy + -0.26·x + 0.03·y + 0.02)
P(B|-MC),P(CT|-B),0.8,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),1.445,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),1.445,P(-MC|C),(0.16·x + 0.69)/(0.16·x + 0.69),(0.69·x + -0.14)/(0.69·x + -0.14),(0.69·xy + 0.12·x + -0.04.y + 0.03) / (0.69·xy + 0.12·x + -0.04·y + 0.03)
P(B|-MC),P(CT|-B),1.445,P(ISC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|-B),1.445,P(-ISC|C),(0.68·x + 0.19)/(0.68·x + 0.19),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.19·xy + -0.36·x + 0.58.y + -0.01) / (-0.19·xy + -0.36·x + 0.58·y + -0.01)
P(B|-MC),P(CT|-B),1.445,P(SH|C),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.58·xy + -0.4·x + -0.05.y + -0.08) / (0.58·xy + -0.4·x + -0.05·y + -0.08)
P(B|-MC),P(CT|-B),1.445,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
