Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(CT|B),0.68,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|B),0.68,P(-MC),0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + -0.0·y + 1.0)
P(B|-MC),P(CT|B),0.68,P(ISC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|B),0.68,P(-ISC),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(B|-MC),P(CT|B),0.68,P(C),-0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|B),0.68,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|B),0.68,P(SH),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|B),0.68,P(-SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(B|-MC),P(CT|B),0.85,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|B),0.85,P(-ISC|-MC),(0.7·x + 0.12)/(0.7·x + 0.12),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.31·xy + 0.3·x + -0.47.y + 0.3) / (-0.31·xy + 0.3·x + -0.47·y + 0.3)
P(B|-MC),P(CT|B),0.85,P(C|-MC),(0.69·x + -0.14)/(0.69·x + -0.14),(0.68·x + 0.19)/(0.68·x + 0.19),(-0.01·xy + -0.68·x + -0.2.y + 0.02) / (-0.01·xy + -0.68·x + -0.2·y + 0.02)
P(B|-MC),P(CT|B),0.85,P(-C|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(CT|B),0.85,P(SH|-MC),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.68·xy + 0.19·x + -0.05.y + 0.03) / (-0.68·xy + 0.19·x + -0.05·y + 0.03)
