Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-C|-B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^-ISC),0.6,P(-ISC|-MC),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.03·xy + -0.66·x + 0.23.y + 0.13) / (-0.03·xy + -0.66·x + 0.23·y + 0.13)
P(B|-MC),P(-C|-B^-ISC),0.6,P(SH|-MC),(0.7·x + 0.12)/(0.7·x + 0.12),(0.67·x + -0.22)/(0.67·x + -0.22),(-0.08·xy + -0.7·x + 0.06.y + 0.03) / (-0.08·xy + -0.7·x + 0.06·y + 0.03)
P(B|-MC),P(-C|-B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^-ISC),0.6,P(CT|-MC),(-0.7·x + -0.09)/(-0.7·x + -0.09),(0.71·x + 0.02)/(0.71·x + 0.02),(-0.55·xy + -0.0·x + -0.23.y + -0.38) / (-0.55·xy + -0.0·x + -0.23·y + -0.38)
P(B|-MC),P(-C|-B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^-ISC),0.7059,P(-MC|-ISC),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.68·x + 0.18)/(-0.68·x + 0.18),(-0.48·xy + 0.3·x + 0.36.y + -0.22) / (0.48·xy + -0.3·x + -0.36·y + 0.22)
P(B|-MC),P(-C|-B^-ISC),0.7059,P(SH|-ISC),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.59·xy + 0.39·x + 0.02.y + -0.04) / (-0.59·xy + 0.39·x + 0.02·y + -0.04)
P(B|-MC),P(-C|-B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
