Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-C|-B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.6,P(-ISC|-MC),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.67·x + -0.22)/(0.67·x + -0.22),(0.7·xy + -0.08·x + -0.05.y + -0.0) / (0.7·xy + -0.08·x + -0.05·y + -0.0)
P(B|-MC),P(-C|-B^ISC),0.6,P(SH|-MC),(0.68·x + 0.19)/(0.68·x + 0.19),(0.7·x + -0.1)/(0.7·x + -0.1),(0.66·xy + 0.26·x + -0.01.y + 0.02) / (0.66·xy + 0.26·x + -0.01·y + 0.02)
P(B|-MC),P(-C|-B^ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.6,P(CT|-MC),(-0.7·x + -0.09)/(-0.7·x + -0.09),(0.67·x + -0.22)/(0.67·x + -0.22),(-0.09·xy + -0.13·x + -0.61.y + -0.31) / (-0.09·xy + -0.13·x + -0.61·y + -0.31)
P(B|-MC),P(-C|-B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.7059,P(-MC|-ISC),(-0.31·x + -0.63)/(-0.31·x + -0.63),(-0.34·x + 0.62)/(-0.34·x + 0.62),(0.65·xy + -0.06·x + -0.25.y + -0.05) / (0.65·xy + -0.06·x + -0.25·y + -0.05)
P(B|-MC),P(-C|-B^ISC),0.7059,P(SH|-ISC),(0.68·x + 0.19)/(0.68·x + 0.19),(-0.34·x + 0.62)/(-0.34·x + 0.62),(0.25·xy + -0.05·x + -0.66.y + 0.01) / (0.25·xy + -0.05·x + -0.66·y + 0.01)
P(B|-MC),P(-C|-B^ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.7059,P(CT|-ISC),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.33·x + -0.62)/(-0.33·x + -0.62),(0.65·xy + -0.28·x + -0.0.y + -0.05) / (0.65·xy + -0.28·x + -0.0·y + -0.05)
P(B|-MC),P(-C|-B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
