Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-C|B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.6,P(-ISC|-MC),(0.69·x + 0.16)/(0.69·x + 0.16),(0.71·x + 0.05)/(0.71·x + 0.05),(0.13·xy + 0.2·x + -0.66.y + 0.05) / (0.13·xy + 0.2·x + -0.66·y + 0.05)
P(B|-MC),P(-C|B^-ISC),0.6,P(SH|-MC),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + 0.09)/(0.7·x + 0.09),(0.45·xy + 0.49·x + 0.21.y + -0.12) / (0.45·xy + 0.49·x + 0.21·y + -0.12)
P(B|-MC),P(-C|B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.6,P(CT|-MC),(0.16·x + 0.69)/(0.16·x + 0.69),(0.7·x + -0.1)/(0.7·x + -0.1),(0.51·xy + -0.34·x + 0.35.y + -0.0) / (0.51·xy + -0.34·x + 0.35·y + -0.0)
P(B|-MC),P(-C|B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.7059,P(-MC|-ISC),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.69·x + -0.15)/(-0.69·x + -0.15),(0.3·xy + -0.63·x + 0.04.y + 0.09) / (0.3·xy + -0.63·x + 0.04·y + 0.09)
P(B|-MC),P(-C|B^-ISC),0.7059,P(SH|-ISC),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.7·xy + -0.05·x + -0.05.y + -0.08) / (-0.7·xy + -0.05·x + -0.05·y + -0.08)
P(B|-MC),P(-C|B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.7059,P(CT|-ISC),(0.52·x + -0.48)/(0.52·x + -0.48),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.14·xy + 0.27·x + 0.64.y + -0.02) / (-0.14·xy + 0.27·x + 0.64·y + -0.02)
P(B|-MC),P(-C|B^-ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
