Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-C|B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.6,P(-ISC|-MC),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.7·x + -0.09)/(0.7·x + -0.09),(-0.58·xy + -0.05·x + 0.4.y + 0.01) / (-0.58·xy + -0.05·x + 0.4·y + 0.01)
P(B|-MC),P(-C|B^ISC),0.6,P(SH|-MC),(0.7·x + -0.12)/(0.7·x + -0.12),(0.7·x + -0.09)/(0.7·x + -0.09),(0.05·xy + -0.33·x + -0.62.y + -0.01) / (0.05·xy + -0.33·x + -0.62·y + -0.01)
P(B|-MC),P(-C|B^ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.6,P(CT|-MC),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.71·x + -0.02)/(-0.71·x + -0.02),(-0.7·xy + 0.06·x + -0.02.y + -0.0) / (-0.7·xy + 0.06·x + -0.02·y + -0.0)
P(B|-MC),P(-C|B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.7059,P(-MC|-ISC),(0.16·x + 0.69)/(0.16·x + 0.69),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.15·xy + 0.52·x + 0.45.y + 0.03) / (-0.15·xy + 0.52·x + 0.45·y + 0.03)
P(B|-MC),P(-C|B^ISC),0.7059,P(SH|-ISC),(0.16·x + 0.69)/(0.16·x + 0.69),(0.51·x + 0.49)/(0.51·x + 0.49),(0.24·xy + -0.64·x + -0.16.y + -0.08) / (0.24·xy + -0.64·x + -0.16·y + -0.08)
P(B|-MC),P(-C|B^ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.7059,P(CT|-ISC),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.33·x + -0.62)/(-0.33·x + -0.62),(-0.66·xy + 0.12·x + -0.19.y + 0.1) / (-0.66·xy + 0.12·x + -0.19·y + 0.1)
P(B|-MC),P(-C|B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.589,P(-MC|SH),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.42·xy + -0.34·x + -0.46.y + -0.04) / (-0.42·xy + -0.34·x + -0.46·y + -0.04)
P(B|-MC),P(-C|B^ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.589,P(-ISC|SH),(0.7·x + -0.12)/(0.7·x + -0.12),(0.67·x + -0.24)/(0.67·x + -0.24),(0.53·xy + 0.27·x + 0.33.y + 0.2) / (0.53·xy + 0.27·x + 0.33·y + 0.2)
P(B|-MC),P(-C|B^ISC),0.589,P(CT|SH),(0.52·x + -0.48)/(0.52·x + -0.48),(0.7·x + -0.1)/(0.7·x + -0.1),(0.31·xy + 0.63·x + 0.07.y + 0.02) / (0.31·xy + 0.63·x + 0.07·y + 0.02)
P(B|-MC),P(-C|B^ISC),0.589,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),1.4422,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),1.4422,P(-MC|CT),(0.69·x + 0.16)/(0.69·x + 0.16),(0.67·x + -0.24)/(0.67·x + -0.24),(-0.11·xy + 0.21·x + 0.66.y + -0.07) / (-0.11·xy + 0.21·x + 0.66·y + -0.07)
P(B|-MC),P(-C|B^ISC),1.4422,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),1.4422,P(-ISC|CT),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.51·x + 0.49)/(0.51·x + 0.49),(-0.62·xy + 0.28·x + -0.18.y + -0.07) / (-0.62·xy + 0.28·x + -0.18·y + -0.07)
P(B|-MC),P(-C|B^ISC),1.4422,P(SH|CT),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + -0.09)/(0.7·x + -0.09),(-0.44·xy + -0.55·x + 0.06.y + -0.03) / (-0.44·xy + -0.55·x + 0.06·y + -0.03)
P(B|-MC),P(-C|B^ISC),1.4422,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
