Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(C|-B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.6,P(-ISC|-MC),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.14·xy + 0.28·x + 0.63.y + 0.02) / (0.14·xy + 0.28·x + 0.63·y + 0.02)
P(B|-MC),P(C|-B^-ISC),0.6,P(SH|-MC),(0.71·x + -0.04)/(0.71·x + -0.04),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.7·xy + -0.08·x + -0.02.y + 0.01) / (-0.7·xy + -0.08·x + -0.02·y + 0.01)
P(B|-MC),P(C|-B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.6,P(CT|-MC),(0.7·x + -0.12)/(0.7·x + -0.12),(0.69·x + -0.14)/(0.69·x + -0.14),(0.57·xy + 0.41·x + 0.02.y + -0.05) / (0.57·xy + 0.41·x + 0.02·y + -0.05)
P(B|-MC),P(C|-B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.7059,P(-MC|-ISC),(0.67·x + -0.23)/(0.67·x + -0.23),(0.7·x + -0.12)/(0.7·x + -0.12),(0.56·xy + -0.4·x + 0.01.y + 0.16) / (0.56·xy + -0.4·x + 0.01·y + 0.16)
P(B|-MC),P(C|-B^-ISC),0.7059,P(SH|-ISC),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.19·xy + 0.5·x + -0.44.y + -0.12) / (0.19·xy + 0.5·x + -0.44·y + -0.12)
P(B|-MC),P(C|-B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.7059,P(CT|-ISC),(0.69·x + 0.16)/(0.69·x + 0.16),(0.71·x + -0.04)/(0.71·x + -0.04),(0.16·xy + -0.68·x + 0.09.y + -0.02) / (0.16·xy + -0.68·x + 0.09·y + -0.02)
P(B|-MC),P(C|-B^-ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.589,P(-MC|SH),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.7·x + -0.12)/(0.7·x + -0.12),(0.16·xy + 0.61·x + -0.32.y + -0.04) / (0.16·xy + 0.61·x + -0.32·y + -0.04)
P(B|-MC),P(C|-B^-ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),0.589,P(-ISC|SH),(0.7·x + -0.12)/(0.7·x + -0.12),(0.7·x + -0.12)/(0.7·x + -0.12),(0.39·xy + -0.14·x + 0.57.y + -0.03) / (0.39·xy + -0.14·x + 0.57·y + -0.03)
P(B|-MC),P(C|-B^-ISC),0.589,P(CT|SH),(0.71·x + -0.04)/(0.71·x + -0.04),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.7·xy + 0.08·x + -0.05.y + -0.0) / (-0.7·xy + 0.08·x + -0.05·y + -0.0)
P(B|-MC),P(C|-B^-ISC),0.589,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),1.4422,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^-ISC),1.4422,P(-MC|CT),(0.16·x + 0.69)/(0.16·x + 0.69),(0.68·x + -0.19)/(0.68·x + -0.19),(0.18·xy + 0.67·x + -0.13.y + -0.01) / (0.18·xy + 0.67·x + -0.13·y + -0.01)
P(B|-MC),P(C|-B^-ISC),1.4422,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
