Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(C|B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.6,P(-ISC|-MC),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.19·xy + 0.43·x + -0.52.y + -0.06) / (-0.19·xy + 0.43·x + -0.52·y + -0.06)
P(B|-MC),P(C|B^-ISC),0.6,P(SH|-MC),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.69·xy + 0.02·x + 0.14.y + 0.02) / (0.69·xy + 0.02·x + 0.14·y + 0.02)
P(B|-MC),P(C|B^-ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.6,P(CT|-MC),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.7·xy + 0.03·x + 0.1.y + -0.01) / (-0.7·xy + 0.03·x + 0.1·y + -0.01)
P(B|-MC),P(C|B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.7059,P(-MC|-ISC),(0.67·x + -0.23)/(0.67·x + -0.23),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.07·xy + -0.59·x + -0.38.y + -0.06) / (-0.07·xy + -0.59·x + -0.38·y + -0.06)
P(B|-MC),P(C|B^-ISC),0.7059,P(SH|-ISC),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.7·x + -0.1)/(0.7·x + -0.1),(0.35·xy + -0.61·x + 0.05.y + -0.0) / (0.35·xy + -0.61·x + 0.05·y + -0.0)
P(B|-MC),P(C|B^-ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.7059,P(CT|-ISC),(0.16·x + 0.69)/(0.16·x + 0.69),(0.67·x + -0.23)/(0.67·x + -0.23),(0.68·xy + 0.08·x + -0.13.y + -0.13) / (0.68·xy + 0.08·x + -0.13·y + -0.13)
P(B|-MC),P(C|B^-ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.589,P(-MC|SH),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.7·xy + 0.06·x + -0.08.y + 0.03) / (0.7·xy + 0.06·x + -0.08·y + 0.03)
P(B|-MC),P(C|B^-ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.589,P(-ISC|SH),(0.7·x + -0.1)/(0.7·x + -0.1),(0.69·x + -0.14)/(0.69·x + -0.14),(0.29·xy + 0.17·x + -0.62.y + 0.01) / (0.29·xy + 0.17·x + -0.62·y + 0.01)
P(B|-MC),P(C|B^-ISC),0.589,P(CT|SH),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.52·xy + 0.44·x + 0.04.y + 0.16) / (-0.52·xy + 0.44·x + 0.04·y + 0.16)
P(B|-MC),P(C|B^-ISC),0.589,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),1.4422,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),1.4422,P(-MC|CT),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.37·xy + 0.54·x + -0.27.y + -0.0) / (0.37·xy + 0.54·x + -0.27·y + -0.0)
P(B|-MC),P(C|B^-ISC),1.4422,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),1.4422,P(-ISC|CT),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.68·x + 0.19)/(0.68·x + 0.19),(0.12·xy + -0.69·x + 0.01.y + -0.05) / (0.12·xy + -0.69·x + 0.01·y + -0.05)
P(B|-MC),P(C|B^-ISC),1.4422,P(SH|CT),(0.7·x + -0.12)/(0.7·x + -0.12),(0.16·x + 0.69)/(0.16·x + 0.69),(0.06·xy + 0.03·x + -0.7.y + 0.0) / (0.06·xy + 0.03·x + -0.7·y + 0.0)
P(B|-MC),P(C|B^-ISC),1.4422,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
