Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(C|B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.6,P(-ISC|-MC),(0.69·x + 0.16)/(0.69·x + 0.16),(0.7·x + -0.12)/(0.7·x + -0.12),(0.29·xy + -0.24·x + 0.57.y + -0.18) / (0.29·xy + -0.24·x + 0.57·y + -0.18)
P(B|-MC),P(C|B^ISC),0.6,P(SH|-MC),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.61·xy + -0.34·x + -0.11.y + 0.02) / (-0.61·xy + -0.34·x + -0.11·y + 0.02)
P(B|-MC),P(C|B^ISC),0.6,P(-SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.6,P(CT|-MC),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.28·xy + -0.65·x + -0.03.y + -0.01) / (-0.28·xy + -0.65·x + -0.03·y + -0.01)
P(B|-MC),P(C|B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.7059,P(MC|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.7059,P(-MC|-ISC),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.6·xy + 0.03·x + -0.35.y + 0.11) / (0.6·xy + 0.03·x + -0.35·y + 0.11)
P(B|-MC),P(C|B^ISC),0.7059,P(SH|-ISC),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.7·x + -0.12)/(0.7·x + -0.12),(0.2·xy + -0.67·x + -0.13.y + -0.03) / (0.2·xy + -0.67·x + -0.13·y + -0.03)
P(B|-MC),P(C|B^ISC),0.7059,P(-SH|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.72·xy + -0.58·x + -0.29.y + 0.23) / (-0.0·xy + -0.0·x + -0.0·y + -0.0)
P(B|-MC),P(C|B^ISC),0.7059,P(CT|-ISC),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.31·x + -0.64)/(-0.31·x + -0.64),(-0.27·xy + 0.62·x + 0.21.y + 0.01) / (-0.27·xy + 0.62·x + 0.21·y + 0.01)
P(B|-MC),P(C|B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.589,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.589,P(-MC|SH),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.4·xy + -0.58·x + 0.02.y + -0.04) / (-0.4·xy + -0.58·x + 0.02·y + -0.04)
P(B|-MC),P(C|B^ISC),0.589,P(ISC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.589,P(-ISC|SH),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.71·x + -0.04)/(0.71·x + -0.04),(0.46·xy + 0.53·x + -0.06.y + -0.04) / (0.46·xy + 0.53·x + -0.06·y + -0.04)
P(B|-MC),P(C|B^ISC),0.589,P(CT|SH),(-0.7·x + -0.09)/(-0.7·x + -0.09),(0.16·x + 0.69)/(0.16·x + 0.69),(-0.7·xy + 0.03·x + 0.07.y + -0.04) / (-0.7·xy + 0.03·x + 0.07·y + -0.04)
P(B|-MC),P(C|B^ISC),0.589,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),1.4422,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),1.4422,P(-MC|CT),(0.7·x + -0.12)/(0.7·x + -0.12),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.31·xy + -0.63·x + 0.08.y + 0.0) / (-0.31·xy + -0.63·x + 0.08·y + 0.0)
P(B|-MC),P(C|B^ISC),1.4422,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),1.4422,P(-ISC|CT),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.59·xy + -0.39·x + 0.0.y + 0.0) / (-0.59·xy + -0.39·x + 0.0·y + 0.0)
P(B|-MC),P(C|B^ISC),1.4422,P(SH|CT),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.69·x + -0.14)/(0.69·x + -0.14),(0.7·xy + 0.08·x + -0.04.y + 0.02) / (0.7·xy + 0.08·x + -0.04·y + 0.02)
P(B|-MC),P(C|B^ISC),1.4422,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
