Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-ISC|-MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|-MC),1.2,P(-MC|C),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.66·x + -0.27)/(-0.66·x + -0.27),(-0.64·xy + 0.29·x + -0.1.y + 0.03) / (-0.64·xy + 0.29·x + -0.1·y + 0.03)
P(B|-MC),P(-ISC|-MC),1.2,P(SH|C),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.67·x + -0.22)/(0.67·x + -0.22),(-0.64·xy + 0.28·x + -0.14.y + 0.01) / (-0.64·xy + 0.28·x + -0.14·y + 0.01)
P(B|-MC),P(-ISC|-MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|-MC),1.2,P(CT|C),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.33·x + -0.62)/(-0.33·x + -0.62),(0.68·xy + -0.06·x + -0.18.y + -0.01) / (0.68·xy + -0.06·x + -0.18·y + -0.01)
P(B|-MC),P(-ISC|-MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|-MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|-MC),0.7806,P(-MC|CT),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.71·x + -0.02)/(-0.71·x + -0.02),(0.7·xy + -0.02·x + -0.11.y + 0.0) / (0.7·xy + -0.02·x + -0.11·y + 0.0)
P(B|-MC),P(-ISC|-MC),0.7806,P(C|CT),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.33·x + -0.62)/(-0.33·x + -0.62),(-0.67·xy + -0.16·x + -0.12.y + 0.07) / (-0.67·xy + -0.16·x + -0.12·y + 0.07)
P(B|-MC),P(-ISC|-MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|-MC),0.7806,P(SH|CT),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.41·xy + 0.57·x + -0.01.y + -0.03) / (-0.41·xy + 0.57·x + -0.01·y + -0.03)
P(B|-MC),P(-ISC|-MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
