Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-ISC|MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|MC),1.2,P(-MC|C),(0.69·x + 0.16)/(0.69·x + 0.16),(0.7·x + 0.09)/(0.7·x + 0.09),(0.14·xy + 0.65·x + 0.07.y + -0.23) / (0.14·xy + 0.65·x + 0.07·y + -0.23)
P(B|-MC),P(-ISC|MC),1.2,P(SH|C),(0.7·x + 0.12)/(0.7·x + 0.12),(0.7·x + 0.06)/(0.7·x + 0.06),(0.68·xy + 0.19·x + 0.04.y + 0.04) / (0.68·xy + 0.19·x + 0.04·y + 0.04)
P(B|-MC),P(-ISC|MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|MC),1.2,P(CT|C),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.52·xy + -0.21·x + 0.33.y + 0.27) / (-0.52·xy + -0.21·x + 0.33·y + 0.27)
P(B|-MC),P(-ISC|MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|MC),0.7806,P(-MC|CT),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.09·xy + -0.66·x + 0.09.y + 0.21) / (-0.09·xy + -0.66·x + 0.09·y + 0.21)
P(B|-MC),P(-ISC|MC),0.7806,P(C|CT),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.34·x + 0.62)/(-0.34·x + 0.62),(0.45·xy + -0.49·x + 0.23.y + -0.07) / (0.45·xy + -0.49·x + 0.23·y + -0.07)
P(B|-MC),P(-ISC|MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-ISC|MC),0.7806,P(SH|CT),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.71·x + 0.05)/(0.71·x + 0.05),(0.47·xy + 0.47·x + -0.24.y + 0.02) / (0.47·xy + 0.47·x + -0.24·y + 0.02)
P(B|-MC),P(-ISC|MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
