Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(ISC|-MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|-MC),1.2,P(-MC|C),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.31·x + -0.64)/(-0.31·x + -0.64),(-0.28·xy + -0.64·x + -0.08.y + -0.03) / (-0.28·xy + -0.64·x + -0.08·y + -0.03)
P(B|-MC),P(ISC|-MC),1.2,P(SH|C),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.71·xy + 0.03·x + 0.03.y + -0.0) / (0.71·xy + 0.03·x + 0.03·y + -0.0)
P(B|-MC),P(ISC|-MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|-MC),1.2,P(CT|C),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.59·xy + -0.33·x + 0.19.y + 0.09) / (-0.59·xy + -0.33·x + 0.19·y + 0.09)
P(B|-MC),P(ISC|-MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|-MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|-MC),0.7806,P(-MC|CT),(0.16·x + 0.69)/(0.16·x + 0.69),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.05·xy + -0.7·x + 0.06.y + 0.05) / (-0.05·xy + -0.7·x + 0.06·y + 0.05)
P(B|-MC),P(ISC|-MC),0.7806,P(C|CT),(0.16·x + 0.69)/(0.16·x + 0.69),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.47·xy + 0.48·x + 0.2.y + -0.11) / (-0.47·xy + 0.48·x + 0.2·y + -0.11)
P(B|-MC),P(ISC|-MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|-MC),0.7806,P(SH|CT),(0.7·x + 0.12)/(0.7·x + 0.12),(0.52·x + -0.48)/(0.52·x + -0.48),(0.56·xy + -0.41·x + 0.13.y + -0.02) / (0.56·xy + -0.41·x + 0.13·y + -0.02)
P(B|-MC),P(ISC|-MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
