Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(ISC|MC),1.2,P(MC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|MC),1.2,P(-MC|C),(0.68·x + -0.19)/(0.68·x + -0.19),(0.67·x + -0.23)/(0.67·x + -0.23),(0.49·xy + 0.35·x + 0.38.y + 0.01) / (0.49·xy + 0.35·x + 0.38·y + 0.01)
P(B|-MC),P(ISC|MC),1.2,P(SH|C),(-0.7·x + -0.09)/(-0.7·x + -0.09),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.55·xy + -0.17·x + 0.41.y + 0.04) / (-0.55·xy + -0.17·x + 0.41·y + 0.04)
P(B|-MC),P(ISC|MC),1.2,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|MC),1.2,P(CT|C),(-0.69·x + -0.16)/(-0.69·x + -0.16),(0.69·x + -0.14)/(0.69·x + -0.14),(0.7·xy + 0.11·x + -0.04.y + 0.05) / (0.7·xy + 0.11·x + -0.04·y + 0.05)
P(B|-MC),P(ISC|MC),1.2,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|MC),0.7806,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|MC),0.7806,P(-MC|CT),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.71·x + -0.04)/(0.71·x + -0.04),(0.58·xy + 0.39·x + -0.1.y + -0.02) / (0.58·xy + 0.39·x + -0.1·y + -0.02)
P(B|-MC),P(ISC|MC),0.7806,P(C|CT),(0.68·x + -0.19)/(0.68·x + -0.19),(0.68·x + -0.19)/(0.68·x + -0.19),(0.69·xy + 0.11·x + -0.09.y + -0.02) / (0.69·xy + 0.11·x + -0.09·y + -0.02)
P(B|-MC),P(ISC|MC),0.7806,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(ISC|MC),0.7806,P(SH|CT),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + -0.12)/(0.7·x + -0.12),(0.43·xy + -0.29·x + -0.46.y + -0.14) / (0.43·xy + -0.29·x + -0.46·y + -0.14)
P(B|-MC),P(ISC|MC),0.7806,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
