Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(-MC),0.6375,P(ISC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-MC),0.6375,P(-ISC|C),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.07·xy + 0.7·x + 0.06.y + -0.01) / (-0.07·xy + 0.7·x + 0.06·y + -0.01)
P(B|-MC),P(-MC),0.6375,P(SH|C),(0.7·x + -0.12)/(0.7·x + -0.12),(0.7·x + -0.09)/(0.7·x + -0.09),(0.37·xy + 0.53·x + -0.27.y + -0.09) / (0.37·xy + 0.53·x + -0.27·y + -0.09)
P(B|-MC),P(-MC),0.6375,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-MC),0.6375,P(CT|C),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.47·xy + -0.1·x + -0.52.y + 0.0) / (0.47·xy + -0.1·x + -0.52·y + 0.0)
P(B|-MC),P(-MC),0.6375,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-MC),1.301,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-MC),1.301,P(-ISC|CT),(-0.69·x + -0.16)/(-0.69·x + -0.16),(0.51·x + 0.49)/(0.51·x + 0.49),(-0.45·xy + -0.01·x + -0.55.y + 0.02) / (-0.45·xy + -0.01·x + -0.55·y + 0.02)
P(B|-MC),P(-MC),1.301,P(C|CT),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.7·x + -0.06)/(0.7·x + -0.06),(0.33·xy + -0.33·x + -0.28.y + -0.45) / (0.33·xy + -0.33·x + -0.28·y + -0.45)
P(B|-MC),P(-MC),1.301,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-MC),1.301,P(SH|CT),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.66·xy + 0.12·x + 0.21.y + -0.01) / (0.66·xy + 0.12·x + 0.21·y + -0.01)
P(B|-MC),P(-MC),1.301,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
