Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(MC),0.6375,P(ISC|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(MC),0.6375,P(-ISC|C),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.52·x + -0.48)/(0.52·x + -0.48),(0.05·xy + -0.63·x + -0.32.y + -0.04) / (0.05·xy + -0.63·x + -0.32·y + -0.04)
P(B|-MC),P(MC),0.6375,P(SH|C),(0.71·x + -0.04)/(0.71·x + -0.04),(0.52·x + -0.48)/(0.52·x + -0.48),(0.16·xy + -0.45·x + 0.52.y + 0.02) / (0.16·xy + -0.45·x + 0.52·y + 0.02)
P(B|-MC),P(MC),0.6375,P(-SH|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(MC),0.6375,P(CT|C),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.18·xy + 0.65·x + -0.12.y + -0.19) / (0.18·xy + 0.65·x + -0.12·y + -0.19)
P(B|-MC),P(MC),0.6375,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(MC),1.301,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(MC),1.301,P(-ISC|CT),(0.71·x + -0.04)/(0.71·x + -0.04),(0.71·x + -0.04)/(0.71·x + -0.04),(0.69·xy + 0.14·x + 0.07.y + -0.05) / (0.69·xy + 0.14·x + 0.07·y + -0.05)
P(B|-MC),P(MC),1.301,P(C|CT),(0.52·x + -0.48)/(0.52·x + -0.48),(0.71·x + -0.04)/(0.71·x + -0.04),(0.37·xy + -0.1·x + -0.59.y + -0.05) / (0.37·xy + -0.1·x + -0.59·y + -0.05)
P(B|-MC),P(MC),1.301,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(MC),1.301,P(SH|CT),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.69·x + -0.14)/(0.69·x + -0.14),(0.62·xy + -0.33·x + -0.07.y + 0.0) / (0.62·xy + -0.33·x + -0.07·y + 0.0)
P(B|-MC),P(MC),1.301,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
