Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(MC),-0.0·x + 1.0,0.0·x + 1.0,(-0.14·xy + 0.04·x + 0.12·y + 0.96)
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(-MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(B),-0.0·x + 0.2,0.35·x + 0.1,(-0.0·xy + 0.0·x + 1.11·y + -0.36)
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(-B),-0.0·x + 0.36,-0.59·x + 0.89,(-0.49·xy + 0.05·x + -0.14·y + 0.85)
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(SH),0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(-SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(CT),0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(-C|-B^-ISC),0.57,P(-CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(-C|-B^-ISC),0.7125,P(B|-MC),(-0.33·x + -0.62)/(-0.33·x + -0.63),(0.71·x + 0.02)/(0.71·x + 0.03),(-0.2·xy + -0.01·x + -0.67.y + -0.03) / (-0.2·xy + -0.01·x + -0.68·y + -0.04)
P(-ISC|-MC),P(-C|-B^-ISC),0.7125,P(-B|-MC),(-0.06·x + 0.0)/(-1.0·x + 0.07),(0.0·x + -0.01)/(-1.0·x + -0.06),(0.05·xy + -0.02·x + -0.02.y + -0.01) / (-0.26·xy + -0.01·x + -0.96·y + -0.07)
