Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(-MC),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(-B),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(-SH),-0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(-C|B^-ISC),0.57,P(-CT),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-ISC|-MC),P(-C|B^-ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(-C|B^-ISC),0.7125,P(-B|-MC),(-0.33·x + -0.62)/(-0.33·x + -0.62),(-0.71·x + -0.02)/(-0.71·x + -0.02),(-0.64·xy + -0.11·x + -0.28.y + 0.01) / (-0.64·xy + -0.11·x + -0.28·y + 0.01)
P(-ISC|-MC),P(-C|B^-ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(-C|B^-ISC),0.7125,P(-SH|-MC),(0.7·x + -0.06)/(0.7·x + -0.06),(0.7·x + 0.07)/(0.7·x + 0.07),(0.21·xy + 0.66·x + -0.11.y + -0.1) / (0.21·xy + 0.66·x + -0.11·y + -0.1)
P(-ISC|-MC),P(-C|B^-ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
