Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(-MC),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(-B),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(-SH),-0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^-ISC),0.57,P(-CT),0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + -0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^-ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^-ISC),0.7125,P(-B|-MC),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.64·xy + -0.22·x + -0.09.y + -0.18) / (-0.64·xy + -0.22·x + -0.09·y + -0.18)
P(-ISC|-MC),P(C|-B^-ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^-ISC),0.7125,P(-SH|-MC),(0.51·x + 0.49)/(0.51·x + 0.49),(0.7·x + 0.12)/(0.7·x + 0.12),(0.69·xy + -0.09·x + 0.13.y + 0.03) / (0.69·xy + -0.09·x + 0.13·y + 0.03)
P(-ISC|-MC),P(C|-B^-ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
