Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-ISC|-MC),P(C|-B^ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^ISC),0.57,P(-MC),0.0·x + 1.0,-0.0·x + 1.0,(-0.05·xy + 0.0·x + 0.04·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^ISC),0.57,P(-B),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^ISC),0.57,P(-SH),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|-B^ISC),0.57,P(-CT),-0.0·x + 1.0,-0.0·x + 1.0,(-0.25·xy + 0.22·x + 0.22·y + 0.8)
P(-ISC|-MC),P(C|-B^ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.7125,P(-B|-MC),(0.71·x + -0.02)/(0.71·x + -0.02),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.56·xy + -0.34·x + -0.28.y + -0.01) / (-0.56·xy + -0.34·x + -0.28·y + -0.01)
P(-ISC|-MC),P(C|-B^ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.7125,P(-SH|-MC),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.56·xy + -0.35·x + -0.17.y + -0.18) / (-0.56·xy + -0.35·x + -0.17·y + -0.18)
P(-ISC|-MC),P(C|-B^ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.7125,P(-CT|-MC),(0.7·x + -0.09)/(0.7·x + -0.09),(0.69·x + -0.14)/(0.69·x + -0.14),(0.1·xy + 0.56·x + -0.42.y + -0.05) / (0.1·xy + 0.56·x + -0.42·y + -0.05)
P(-ISC|-MC),P(C|-B^ISC),0.6196,P(MC|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.6196,P(-MC|-B),(0.71·x + -0.02)/(0.71·x + -0.02),(0.52·x + -0.48)/(0.52·x + -0.48),(0.46·xy + -0.5·x + 0.01.y + 0.2) / (0.46·xy + -0.5·x + 0.01·y + 0.2)
P(-ISC|-MC),P(C|-B^ISC),0.6196,P(SH|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.6196,P(-SH|-B),(0.7·x + -0.06)/(0.7·x + -0.06),(0.16·x + 0.69)/(0.16·x + 0.69),(0.13·xy + -0.67·x + 0.05.y + 0.16) / (0.13·xy + -0.67·x + 0.05·y + 0.16)
P(-ISC|-MC),P(C|-B^ISC),0.6196,P(CT|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.6196,P(-CT|-B),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.71·xy + -0.04·x + 0.02.y + -0.01) / (0.71·xy + -0.04·x + 0.02·y + -0.01)
P(-ISC|-MC),P(C|-B^ISC),0.5552,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|-B^ISC),0.5552,P(-MC|SH),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.33·xy + 0.34·x + -0.46.y + -0.25) / (-0.33·xy + 0.34·x + -0.46·y + -0.25)
P(-ISC|-MC),P(C|-B^ISC),0.5552,P(B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
