Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-ISC|-MC),P(C|B^-ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^-ISC),0.57,P(-MC),0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^-ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^-ISC),0.57,P(-B),-0.0·x + 1.0,-0.0·x + 1.0,(-0.01·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^-ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^-ISC),0.57,P(-SH),-0.0·x + 1.0,-0.0·x + 1.0,(-0.22·xy + 0.2·x + 0.13·y + 0.88)
P(-ISC|-MC),P(C|B^-ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^-ISC),0.57,P(-CT),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-ISC|-MC),P(C|B^-ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^-ISC),0.7125,P(-B|-MC),(0.71·x + -0.02)/(0.71·x + -0.02),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.19·xy + -0.39·x + 0.54.y + -0.14) / (-0.19·xy + -0.39·x + 0.54·y + -0.14)
P(-ISC|-MC),P(C|B^-ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^-ISC),0.7125,P(-SH|-MC),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.69·x + 0.16)/(-0.69·x + 0.16),(-0.05·xy + 0.62·x + -0.34.y + 0.02) / (-0.05·xy + 0.62·x + -0.34·y + 0.02)
P(-ISC|-MC),P(C|B^-ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
