Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-ISC|-MC),P(C|B^ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^ISC),0.57,P(-MC),-0.0·x + 1.0,-0.0·x + 1.0,(-0.05·xy + 0.0·x + 0.04·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^ISC),0.57,P(-B),0.0·x + 1.0,0.0·x + 1.0,(-0.05·xy + 0.03·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^ISC),0.57,P(-SH),0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + -0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-ISC|-MC),P(C|B^ISC),0.57,P(-CT),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.7125,P(-B|-MC),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.69·x + 0.16)/(-0.69·x + 0.16),(-0.3·xy + -0.23·x + 0.53.y + 0.26) / (-0.3·xy + -0.23·x + 0.53·y + 0.26)
P(-ISC|-MC),P(C|B^ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.7125,P(-SH|-MC),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.66·x + 0.24)/(-0.66·x + 0.24),(0.58·xy + -0.05·x + 0.4.y + -0.05) / (0.58·xy + -0.05·x + 0.4·y + -0.05)
P(-ISC|-MC),P(C|B^ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.7125,P(-CT|-MC),(-0.71·x + -0.02)/(-0.71·x + -0.02),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.06·xy + 0.7·x + -0.09.y + 0.03) / (-0.06·xy + 0.7·x + -0.09·y + 0.03)
P(-ISC|-MC),P(C|B^ISC),0.6196,P(MC|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.6196,P(-MC|-B),(-0.66·x + -0.27)/(-0.66·x + -0.27),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.64·xy + 0.16·x + 0.25.y + -0.01) / (0.64·xy + 0.16·x + 0.25·y + -0.01)
P(-ISC|-MC),P(C|B^ISC),0.6196,P(SH|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.6196,P(-SH|-B),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.4·xy + -0.58·x + -0.06.y + -0.0) / (-0.4·xy + -0.58·x + -0.06·y + -0.0)
P(-ISC|-MC),P(C|B^ISC),0.6196,P(CT|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.6196,P(-CT|-B),(-0.69·x + -0.15)/(-0.69·x + -0.15),(-0.7·x + -0.09)/(-0.7·x + -0.09),(0.36·xy + 0.6·x + -0.09.y + 0.02) / (0.36·xy + 0.6·x + -0.09·y + 0.02)
P(-ISC|-MC),P(C|B^ISC),0.5552,P(MC|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-ISC|-MC),P(C|B^ISC),0.5552,P(-MC|SH),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.17·xy + -0.64·x + 0.21.y + 0.13) / (-0.17·xy + -0.64·x + 0.21·y + 0.13)
P(-ISC|-MC),P(C|B^ISC),0.5552,P(B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
