Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(ISC|-MC),P(-C|-B^ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|-B^ISC),0.57,P(-MC),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|-B^ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|-B^ISC),0.57,P(-B),0.0·x + 1.0,0.0·x + 1.0,(-0.09·xy + 0.03·x + 0.04·y + 0.99)
P(ISC|-MC),P(-C|-B^ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|-B^ISC),0.57,P(-SH),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|-B^ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|-B^ISC),0.57,P(-CT),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(ISC|-MC),P(-C|-B^ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|-B^ISC),0.7125,P(-B|-MC),(0.16·x + 0.69)/(0.16·x + 0.69),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.48·xy + -0.03·x + 0.51.y + 0.08) / (0.48·xy + -0.03·x + 0.51·y + 0.08)
P(ISC|-MC),P(-C|-B^ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|-B^ISC),0.7125,P(-SH|-MC),(0.7·x + 0.12)/(0.7·x + 0.12),(0.7·x + 0.06)/(0.7·x + 0.06),(0.65·xy + 0.13·x + -0.23.y + -0.08) / (0.65·xy + 0.13·x + -0.23·y + -0.08)
P(ISC|-MC),P(-C|-B^ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
