Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(ISC|-MC),P(-C|B^-ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^-ISC),0.57,P(-MC),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^-ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^-ISC),0.57,P(-B),0.0·x + 1.0,0.0·x + 1.0,(-0.03·xy + 0.01·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^-ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^-ISC),0.57,P(-SH),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(ISC|-MC),P(-C|B^-ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^-ISC),0.57,P(-CT),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^-ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^-ISC),0.7125,P(-B|-MC),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.33·xy + 0.6·x + 0.17.y + -0.04) / (-0.33·xy + 0.6·x + 0.17·y + -0.04)
P(ISC|-MC),P(-C|B^-ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^-ISC),0.7125,P(-SH|-MC),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.67·x + -0.22)/(0.67·x + -0.22),(-0.26·xy + 0.31·x + 0.24.y + 0.53) / (-0.26·xy + 0.31·x + 0.24·y + 0.53)
P(ISC|-MC),P(-C|B^-ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
