Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(ISC|-MC),P(-C|B^ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^ISC),0.57,P(-MC),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + 0.0·x + -0.0·y + 1.0)
P(ISC|-MC),P(-C|B^ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^ISC),0.57,P(-B),0.0·x + 1.0,0.0·x + 1.0,(-0.15·xy + 0.09·x + 0.06·y + 0.96)
P(ISC|-MC),P(-C|B^ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^ISC),0.57,P(-SH),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(ISC|-MC),P(-C|B^ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(-C|B^ISC),0.57,P(-CT),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^ISC),0.7125,P(-B|-MC),(-0.69·x + -0.16)/(-0.69·x + -0.16),(0.7·x + 0.09)/(0.7·x + 0.09),(0.59·xy + -0.39·x + 0.04.y + 0.06) / (0.59·xy + -0.39·x + 0.04·y + 0.06)
P(ISC|-MC),P(-C|B^ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(-C|B^ISC),0.7125,P(-SH|-MC),(0.68·x + -0.19)/(0.68·x + -0.19),(-0.69·x + -0.15)/(-0.69·x + -0.15),(0.04·xy + -0.67·x + -0.02.y + 0.22) / (0.04·xy + -0.67·x + -0.02·y + 0.22)
P(ISC|-MC),P(-C|B^ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
