Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(ISC|-MC),P(C|-B^ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|-B^ISC),0.57,P(-MC),-0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(C|-B^ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|-B^ISC),0.57,P(-B),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(C|-B^ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|-B^ISC),0.57,P(-SH),0.0·x + 1.0,0.0·x + 1.0,(-0.23·xy + 0.16·x + 0.21·y + 0.85)
P(ISC|-MC),P(C|-B^ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|-B^ISC),0.57,P(-CT),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(ISC|-MC),P(C|-B^ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(C|-B^ISC),0.7125,P(-B|-MC),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.47·xy + -0.5·x + 0.17.y + -0.0) / (0.47·xy + -0.5·x + 0.17·y + -0.0)
P(ISC|-MC),P(C|-B^ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(C|-B^ISC),0.7125,P(-SH|-MC),(0.52·x + -0.48)/(0.52·x + -0.48),(0.16·x + 0.69)/(0.16·x + 0.69),(-0.4·xy + 0.1·x + -0.54.y + -0.2) / (-0.4·xy + 0.1·x + -0.54·y + -0.2)
P(ISC|-MC),P(C|-B^ISC),0.7125,P(CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
