Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(ISC|-MC),P(C|B^-ISC),0.57,P(MC),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|B^-ISC),0.57,P(-MC),0.0·x + 1.0,-0.0·x + 1.0,(-0.16·xy + 0.11·x + 0.06·y + 0.95)
P(ISC|-MC),P(C|B^-ISC),0.57,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|B^-ISC),0.57,P(-B),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(C|B^-ISC),0.57,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|B^-ISC),0.57,P(-SH),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(ISC|-MC),P(C|B^-ISC),0.57,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(ISC|-MC),P(C|B^-ISC),0.57,P(-CT),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(C|B^-ISC),0.7125,P(B|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|-MC),P(C|B^-ISC),0.7125,P(-B|-MC),(0.71·x + -0.04)/(0.71·x + -0.04),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.33·xy + -0.34·x + 0.52.y + -0.05) / (-0.33·xy + -0.34·x + 0.52·y + -0.05)
P(ISC|-MC),P(C|B^-ISC),0.7125,P(SH|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
