Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-MC),P(-ISC|-MC),0.6,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|-MC),0.6,P(-B),0.0·x + 1.0,-0.0·x + 1.0,(-0.11·xy + 0.05·x + 0.05·y + 0.98)
P(-MC),P(-ISC|-MC),0.6,P(C),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-MC),P(-ISC|-MC),0.6,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|-MC),0.6,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|-MC),0.6,P(-SH),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|-MC),0.6,P(CT),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|-MC),0.6,P(-CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|-MC),0.9375,P(C|B),(0.71·x + 0.01)/(0.71·x + 0.01),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.65·xy + 0.05·x + 0.28.y + 0.01) / (-0.65·xy + 0.05·x + 0.28·y + 0.01)
P(-MC),P(-ISC|-MC),0.9375,P(-C|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|-MC),0.9375,P(SH|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|-MC),0.9375,P(-SH|B),(-0.68·x + 0.18)/(-0.68·x + 0.18),(-0.34·x + 0.62)/(-0.34·x + 0.62),(-0.19·xy + 0.41·x + 0.54.y + -0.0) / (-0.19·xy + 0.41·x + 0.54·y + -0.0)
