Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-MC),P(-ISC|MC),0.6,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|MC),0.6,P(-B),-0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.6,P(C),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.6,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|MC),0.6,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|MC),0.6,P(-SH),-0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.6,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(-ISC|MC),0.6,P(-CT),0.0·x + 1.0,0.0·x + 1.0,(-0.14·xy + 0.12·x + 0.04·y + 0.96)
P(-MC),P(-ISC|MC),0.9375,P(C|B),(0.71·x + -0.02)/(0.71·x + -0.02),(0.7·x + -0.09)/(0.7·x + -0.09),(0.48·xy + -0.48·x + 0.15.y + 0.13) / (0.48·xy + -0.48·x + 0.15·y + 0.13)
P(-MC),P(-ISC|MC),0.9375,P(-C|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.9375,P(SH|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.9375,P(-SH|B),(-0.68·x + 0.18)/(-0.68·x + 0.18),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.25·xy + -0.62·x + 0.21.y + -0.05) / (-0.25·xy + -0.62·x + 0.21·y + -0.05)
P(-MC),P(-ISC|MC),0.9375,P(CT|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(-ISC|MC),0.9375,P(-CT|B),(0.7·x + -0.1)/(0.7·x + -0.1),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.64·xy + -0.2·x + 0.22.y + 0.07) / (-0.64·xy + -0.2·x + 0.22·y + 0.07)
