Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-MC),P(ISC|-MC),0.6,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|-MC),0.6,P(-B),-0.0·x + 1.0,-0.0·x + 1.0,(-0.22·xy + 0.2·x + 0.13·y + 0.88)
P(-MC),P(ISC|-MC),0.6,P(C),-0.0·x + 1.0,0.0·x + 1.0,(-0.03·xy + 0.0·x + 0.01·y + 1.0)
P(-MC),P(ISC|-MC),0.6,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|-MC),0.6,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|-MC),0.6,P(-SH),-0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.6,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|-MC),0.6,P(-CT),0.0·x + 1.0,0.0·x + 1.0,(-0.05·xy + 0.0·x + 0.04·y + 1.0)
P(-MC),P(ISC|-MC),0.9375,P(C|B),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.55·xy + -0.44·x + -0.1.y + -0.01) / (0.55·xy + -0.44·x + -0.1·y + -0.01)
P(-MC),P(ISC|-MC),0.9375,P(-C|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.9375,P(SH|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.9375,P(-SH|B),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.7·x + -0.1)/(0.7·x + -0.1),(0.13·xy + 0.69·x + -0.08.y + -0.03) / (0.13·xy + 0.69·x + -0.08·y + -0.03)
P(-MC),P(ISC|-MC),0.9375,P(CT|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.9375,P(-CT|B),(0.71·x + 0.02)/(0.71·x + 0.02),(0.52·x + -0.48)/(0.52·x + -0.48),(0.48·xy + 0.5·x + -0.09.y + -0.12) / (0.48·xy + 0.5·x + -0.09·y + -0.12)
P(-MC),P(ISC|-MC),0.5388,P(C|-B),(0.7·x + -0.09)/(0.7·x + -0.09),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.0·xy + -0.43·x + 0.54.y + 0.16) / (-0.0·xy + -0.43·x + 0.54·y + 0.16)
P(-MC),P(ISC|-MC),0.5388,P(-C|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5388,P(SH|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5388,P(-SH|-B),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.7·x + -0.09)/(-0.7·x + -0.09),(0.25·xy + -0.6·x + 0.05.y + 0.28) / (0.25·xy + -0.6·x + 0.05·y + 0.28)
P(-MC),P(ISC|-MC),0.5388,P(CT|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5388,P(-CT|-B),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.66·xy + 0.01·x + -0.26.y + -0.02) / (-0.66·xy + 0.01·x + -0.26·y + -0.02)
P(-MC),P(ISC|-MC),0.6173,P(B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.6173,P(-B|SH),(-0.68·x + 0.18)/(-0.68·x + 0.18),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.64·xy + 0.05·x + 0.3.y + -0.03) / (-0.64·xy + 0.05·x + 0.3·y + -0.03)
P(-MC),P(ISC|-MC),0.6173,P(C|SH),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.31·x + -0.63)/(-0.31·x + -0.63),(-0.39·xy + -0.56·x + 0.15.y + -0.12) / (-0.39·xy + -0.56·x + 0.15·y + -0.12)
P(-MC),P(ISC|-MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.6173,P(CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.6173,P(-CT|SH),(0.67·x + -0.22)/(0.67·x + -0.22),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.24·xy + -0.36·x + 0.46.y + 0.32) / (-0.24·xy + -0.36·x + 0.46·y + 0.32)
P(-MC),P(ISC|-MC),0.5713,P(B|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5713,P(-B|-SH),(0.71·x + -0.02)/(0.71·x + -0.02),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.68·xy + 0.12·x + 0.01.y + 0.15) / (-0.68·xy + 0.12·x + 0.01·y + 0.15)
P(-MC),P(ISC|-MC),0.5713,P(C|-SH),(-0.68·x + 0.18)/(-0.68·x + 0.18),(0.69·x + 0.16)/(0.69·x + 0.16),(0.34·xy + -0.11·x + -0.61.y + -0.0) / (0.34·xy + -0.11·x + -0.61·y + -0.0)
P(-MC),P(ISC|-MC),0.5713,P(-C|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5713,P(CT|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5713,P(-CT|-SH),(0.71·x + 0.05)/(0.71·x + 0.05),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.67·xy + -0.16·x + 0.11.y + -0.12) / (-0.67·xy + -0.16·x + 0.11·y + -0.12)
P(-MC),P(ISC|-MC),0.8179,P(B|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.8179,P(-B|CT),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.31·x + -0.64)/(-0.31·x + -0.64),(-0.43·xy + -0.16·x + -0.51.y + -0.17) / (-0.43·xy + -0.16·x + -0.51·y + -0.17)
P(-MC),P(ISC|-MC),0.8179,P(C|CT),(0.67·x + -0.24)/(0.67·x + -0.24),(0.7·x + 0.12)/(0.7·x + 0.12),(-0.21·xy + 0.2·x + 0.64.y + -0.03) / (-0.21·xy + 0.2·x + 0.64·y + -0.03)
P(-MC),P(ISC|-MC),0.8179,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.8179,P(SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.8179,P(-SH|CT),(0.71·x + 0.05)/(0.71·x + 0.05),(0.7·x + -0.12)/(0.7·x + -0.12),(0.05·xy + 0.02·x + -0.7.y + -0.06) / (0.05·xy + 0.02·x + -0.7·y + -0.06)
P(-MC),P(ISC|-MC),0.5426,P(B|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5426,P(-B|-CT),(-0.33·x + -0.62)/(-0.33·x + -0.62),(0.67·x + -0.23)/(0.67·x + -0.23),(0.4·xy + -0.39·x + 0.39.y + 0.19) / (0.4·xy + -0.39·x + 0.39·y + 0.19)
P(-MC),P(ISC|-MC),0.5426,P(C|-CT),(0.71·x + -0.02)/(0.71·x + -0.02),(0.69·x + 0.16)/(0.69·x + 0.16),(-0.4·xy + -0.55·x + 0.17.y + -0.08) / (-0.4·xy + -0.55·x + 0.17·y + -0.08)
P(-MC),P(ISC|-MC),0.5426,P(-C|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5426,P(SH|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|-MC),0.5426,P(-SH|-CT),(-0.66·x + -0.24)/(-0.66·x + -0.24),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.69·xy + 0.14·x + 0.05.y + -0.01) / (0.69·xy + 0.14·x + 0.05·y + -0.01)
