Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-MC),P(ISC|MC),0.6,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|MC),0.6,P(-B),-0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.6,P(C),0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.6,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|MC),0.6,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|MC),0.6,P(-SH),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(-MC),P(ISC|MC),0.6,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(-MC),P(ISC|MC),0.6,P(-CT),0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.9375,P(C|B),(-0.66·x + -0.24)/(-0.66·x + -0.24),(0.7·x + -0.1)/(0.7·x + -0.1),(0.25·xy + 0.66·x + -0.07.y + 0.0) / (0.25·xy + 0.66·x + -0.07·y + 0.0)
P(-MC),P(ISC|MC),0.9375,P(-C|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.9375,P(SH|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.9375,P(-SH|B),(0.71·x + 0.02)/(0.71·x + 0.02),(0.68·x + 0.19)/(0.68·x + 0.19),(0.15·xy + -0.68·x + -0.12.y + 0.07) / (0.15·xy + -0.68·x + -0.12·y + 0.07)
P(-MC),P(ISC|MC),0.9375,P(CT|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-MC),P(ISC|MC),0.9375,P(-CT|B),(0.7·x + 0.07)/(0.7·x + 0.07),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.61·xy + -0.35·x + -0.07.y + 0.0) / (0.61·xy + -0.35·x + -0.07·y + 0.0)
