Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(-ISC|-MC),0.6,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(-ISC|-MC),0.6,P(-B),-0.0·x + 1.0,0.0·x + 1.0,(-0.15·xy + 0.09·x + 0.06·y + 0.96)
P(MC),P(-ISC|-MC),0.6,P(C),0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.6,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(-ISC|-MC),0.6,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(-ISC|-MC),0.6,P(-SH),0.0·x + 1.0,-0.0·x + 1.0,(-0.23·xy + 0.21·x + 0.16·y + 0.85)
P(MC),P(-ISC|-MC),0.6,P(CT),-0.0·x + 1.0,0.0·x + 1.0,(-0.09·xy + 0.03·x + 0.04·y + 0.99)
P(MC),P(-ISC|-MC),0.6,P(-CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(-ISC|-MC),0.9375,P(C|B),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.66·x + -0.24)/(-0.66·x + -0.24),(-0.53·xy + -0.44·x + -0.12.y + -0.11) / (-0.53·xy + -0.44·x + -0.12·y + -0.11)
P(MC),P(-ISC|-MC),0.9375,P(-C|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.9375,P(SH|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.9375,P(-SH|B),(0.16·x + 0.69)/(0.16·x + 0.69),(-0.33·x + -0.62)/(-0.33·x + -0.62),(0.27·xy + -0.57·x + 0.04.y + 0.33) / (0.27·xy + -0.57·x + 0.04·y + 0.33)
P(MC),P(-ISC|-MC),0.9375,P(CT|B),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.67·x + -0.24)/(0.67·x + -0.24),(0.3·xy + -0.61·x + -0.13.y + 0.14) / (0.3·xy + -0.61·x + -0.13·y + 0.14)
P(MC),P(-ISC|-MC),0.9375,P(-CT|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5388,P(C|-B),(0.67·x + -0.23)/(0.67·x + -0.23),(0.7·x + -0.09)/(0.7·x + -0.09),(0.1·xy + 0.7·x + -0.06.y + -0.0) / (0.1·xy + 0.7·x + -0.06·y + -0.0)
P(MC),P(-ISC|-MC),0.5388,P(-C|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5388,P(SH|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5388,P(-SH|-B),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.66·x + -0.27)/(-0.66·x + -0.27),(-0.25·xy + -0.46·x + 0.47.y + -0.01) / (-0.25·xy + -0.46·x + 0.47·y + -0.01)
P(MC),P(-ISC|-MC),0.5388,P(CT|-B),(-0.7·x + -0.09)/(-0.7·x + -0.09),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.5·xy + 0.33·x + 0.32.y + 0.21) / (-0.5·xy + 0.33·x + 0.32·y + 0.21)
P(MC),P(-ISC|-MC),0.5388,P(-CT|-B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.6173,P(B|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.6173,P(-B|SH),(0.16·x + 0.69)/(0.16·x + 0.69),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.15·xy + 0.68·x + -0.1.y + -0.0) / (-0.15·xy + 0.68·x + -0.1·y + -0.0)
P(MC),P(-ISC|-MC),0.6173,P(C|SH),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.61·x + 0.35)/(-0.61·x + 0.35),(0.36·xy + -0.6·x + 0.1.y + -0.0) / (0.36·xy + -0.6·x + 0.1·y + -0.0)
P(MC),P(-ISC|-MC),0.6173,P(-C|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.6173,P(CT|SH),(-0.7·x + 0.08)/(-0.7·x + 0.08),(-0.71·x + -0.02)/(-0.71·x + -0.02),(-0.64·xy + 0.3·x + 0.01.y + -0.06) / (-0.64·xy + 0.3·x + 0.01·y + -0.06)
P(MC),P(-ISC|-MC),0.6173,P(-CT|SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5713,P(B|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5713,P(-B|-SH),(0.7·x + -0.12)/(0.7·x + -0.12),(0.67·x + -0.22)/(0.67·x + -0.22),(0.68·xy + 0.18·x + 0.05.y + -0.07) / (0.68·xy + 0.18·x + 0.05·y + -0.07)
P(MC),P(-ISC|-MC),0.5713,P(C|-SH),(0.68·x + -0.19)/(0.68·x + -0.19),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.05·xy + 0.03·x + -0.7.y + 0.01) / (-0.05·xy + 0.03·x + -0.7·y + 0.01)
P(MC),P(-ISC|-MC),0.5713,P(-C|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5713,P(CT|-SH),(0.7·x + -0.1)/(0.7·x + -0.1),(0.71·x + -0.02)/(0.71·x + -0.02),(0.43·xy + -0.53·x + -0.08.y + 0.18) / (0.43·xy + -0.53·x + -0.08·y + 0.18)
P(MC),P(-ISC|-MC),0.5713,P(-CT|-SH),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.8179,P(B|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.8179,P(-B|CT),(0.71·x + -0.04)/(0.71·x + -0.04),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.69·xy + 0.12·x + -0.07.y + 0.01) / (-0.69·xy + 0.12·x + -0.07·y + 0.01)
P(MC),P(-ISC|-MC),0.8179,P(C|CT),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.62·xy + 0.34·x + 0.09.y + 0.03) / (0.62·xy + 0.34·x + 0.09·y + 0.03)
P(MC),P(-ISC|-MC),0.8179,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.8179,P(SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.8179,P(-SH|CT),(0.67·x + -0.23)/(0.67·x + -0.23),(0.7·x + -0.09)/(0.7·x + -0.09),(-0.34·xy + -0.46·x + -0.42.y + -0.01) / (-0.34·xy + -0.46·x + -0.42·y + -0.01)
P(MC),P(-ISC|-MC),0.5426,P(B|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5426,P(-B|-CT),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.61·x + 0.35)/(-0.61·x + 0.35),(-0.02·xy + 0.09·x + 0.7.y + -0.03) / (-0.02·xy + 0.09·x + 0.7·y + -0.03)
P(MC),P(-ISC|-MC),0.5426,P(C|-CT),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + -0.06)/(0.7·x + -0.06),(0.11·xy + 0.56·x + 0.42.y + -0.03) / (0.11·xy + 0.56·x + 0.42·y + -0.03)
P(MC),P(-ISC|-MC),0.5426,P(-C|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5426,P(SH|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5426,P(-SH|-CT),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.71·x + -0.02)/(-0.71·x + -0.02),(0.68·xy + 0.05·x + 0.11.y + -0.17) / (0.68·xy + 0.05·x + 0.11·y + -0.17)
