Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(ISC|-MC),0.6,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|-MC),0.6,P(-B),0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.6,P(C),-0.0·x + 1.0,0.0·x + 1.0,(-0.05·xy + 0.04·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.6,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|-MC),0.6,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|-MC),0.6,P(-SH),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + -0.0·x + -0.0·y + 1.0)
P(MC),P(ISC|-MC),0.6,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|-MC),0.6,P(-CT),0.0·x + 1.0,0.0·x + 1.0,(0.0·xy + 0.0·x + -0.0·y + 1.0)
P(MC),P(ISC|-MC),0.9375,P(C|B),(-0.71·x + 0.04)/(-0.71·x + 0.04),(0.7·x + -0.12)/(0.7·x + -0.12),(0.48·xy + 0.52·x + -0.05.y + -0.01) / (0.48·xy + 0.52·x + -0.05·y + -0.01)
P(MC),P(ISC|-MC),0.9375,P(-C|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.9375,P(SH|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.9375,P(-SH|B),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.49·xy + -0.06·x + 0.51.y + 0.02) / (0.49·xy + -0.06·x + 0.51·y + 0.02)
P(MC),P(ISC|-MC),0.9375,P(CT|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.9375,P(-CT|B),(0.7·x + -0.12)/(0.7·x + -0.12),(0.7·x + -0.1)/(0.7·x + -0.1),(0.38·xy + 0.56·x + -0.17.y + -0.12) / (0.38·xy + 0.56·x + -0.17·y + -0.12)
