Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(ISC|MC),0.6,P(B),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|MC),0.6,P(-B),-0.0·x + 1.0,-0.0·x + 1.0,(0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.6,P(C),0.0·x + 1.0,0.0·x + 1.0,(-0.0·xy + -0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.6,P(-C),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|MC),0.6,P(SH),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|MC),0.6,P(-SH),0.0·x + 1.0,-0.0·x + 1.0,(-0.12·xy + 0.05·x + 0.05·y + 0.98)
P(MC),P(ISC|MC),0.6,P(CT),0.0·x + 0.0,0.0·x + 0.0,(0.0·xy + 0.0·x + 0.0·y + 0.0)
P(MC),P(ISC|MC),0.6,P(-CT),0.0·x + 1.0,-0.0·x + 1.0,(-0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.9375,P(C|B),(-0.66·x + 0.24)/(-0.66·x + 0.24),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.7·xy + -0.04·x + 0.04.y + 0.03) / (-0.7·xy + -0.04·x + 0.04·y + 0.03)
P(MC),P(ISC|MC),0.9375,P(-C|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.9375,P(SH|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.9375,P(-SH|B),(0.71·x + -0.04)/(0.71·x + -0.04),(0.69·x + 0.16)/(0.69·x + 0.16),(0.36·xy + 0.3·x + -0.52.y + -0.13) / (0.36·xy + 0.3·x + -0.52·y + -0.13)
P(MC),P(ISC|MC),0.9375,P(CT|B),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.9375,P(-CT|B),(0.68·x + 0.19)/(0.68·x + 0.19),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.13·xy + 0.58·x + 0.38.y + -0.02) / (-0.13·xy + 0.58·x + 0.38·y + -0.02)
