Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|MC),P(ISC|MC),0.412,P(MC|CT),(-0.62·x + -0.07)/(-0.62·x + -0.49),(-0.07·x + 0.48)/(-0.13·x + 0.87),(-0.04·x + 0.02·y + 0.18·xy + -0.11) / (-0.51·x + 0.3·y + 0.67·xy + -0.4)
P(B|MC),P(ISC|MC),0.412,P(-MC|CT),(-0.45·x + 0.36)/(-0.64·x + 0.51),(0.34·x + 0.15)/(0.85·x + 0.39),(-0.2·x + -0.41·y + 0.17·xy + 0.33) / (-0.27·x + -0.58·y + 0.2·xy + 0.46)
P(B|MC),P(ISC|MC),0.412,P(C|CT),(-0.16·x + 0.33)/(-0.55·x + 0.76),(-0.53·x + -0.0)/(-0.85·x + -0.01),(0.21·x + 0.09·y + -0.3·xy + -0.22) / (0.18·x + 0.51·y + -0.36·xy + -0.62)
P(B|MC),P(ISC|MC),0.412,P(-C|CT),(0.34·x + -0.33)/(0.6·x + -0.65),(0.34·x + 0.0)/(0.94·x + 0.01),(0.17·x + 0.28·y + -0.21·xy + -0.26) / (0.35·x + 0.47·y + -0.43·xy + -0.5)
P(B|MC),P(ISC|MC),0.412,P(SH|CT),(0.32·x + -0.45)/(0.5·x + -0.67),(0.58·x + -0.1)/(0.79·x + -0.13),(-0.16·x + -0.27·y + 0.26·xy + 0.37) / (-0.35·x + -0.35·y + 0.45·xy + 0.49)
P(B|MC),P(ISC|MC),0.412,P(-SH|CT),(0.21·x + -0.23)/(0.6·x + -0.74),(-0.04·x + -0.24)/(-0.15·x + -0.96),(0.0·x + 0.22·y + -0.03·xy + -0.24) / (0.24·x + 0.55·y + -0.3·xy + -0.67)
P(B|MC),P(ISC|MC),0.1011,P(MC|-CT),(0.01·x + -0.07)/(-0.98·x + -0.18),(-0.01·x + -0.04)/(-0.13·x + -0.99),(-0.08·x + 0.04·y + 0.03·xy + 0.05) / (0.44·x + 0.87·y + 0.07·xy + 0.17)
P(B|MC),P(ISC|MC),0.1011,P(-MC|-CT),(-0.71·x + -0.05)/(-0.7·x + -0.1),(0.68·x + 0.01)/(0.74·x + 0.01),(-0.39·x + -0.58·y + -0.05·xy + -0.03) / (-0.44·x + -0.55·y + -0.04·xy + -0.09)
P(B|MC),P(ISC|MC),0.1011,P(C|-CT),(-0.19·x + -0.08)/(-0.96·x + -0.19),(-0.27·x + 0.02)/(-0.96·x + 0.02),(-0.09·x + -0.12·y + -0.2·xy + 0.0) / (-0.65·x + -0.49·y + -0.52·xy + -0.08)
P(B|MC),P(ISC|MC),0.1011,P(-C|-CT),(-0.62·x + -0.09)/(-0.77·x + -0.14),(-0.58·x + -0.04)/(-0.81·x + -0.03),(0.08·x + -0.2·y + 0.53·xy + 0.0) / (-0.02·x + -0.24·y + 0.78·xy + -0.02)
P(B|MC),P(ISC|MC),0.1011,P(SH|-CT),(-0.51·x + -0.11)/(-0.84·x + -0.18),(0.23·x + -0.46)/(0.37·x + -0.77),(-0.28·x + -0.42·y + -0.06·xy + -0.09) / (-0.46·x + -0.7·y + -0.1·xy + -0.15)
P(B|MC),P(ISC|MC),0.1011,P(-SH|-CT),(-0.36·x + -0.08)/(-0.91·x + -0.2),(-0.34·x + -0.15)/(-0.85·x + -0.37),(-0.15·x + -0.33·y + -0.03·xy + -0.07) / (-0.38·x + -0.83·y + -0.08·xy + -0.17)
