Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(ISC|MC),0.5388,P(C|-B),(0.32·x + 0.18)/(-0.14·x + 0.92),(0.24·x + -0.01)/(0.97·x + -0.01),(-0.09·xy + -0.07·x + 0.21.y + -0.02) / (0.19·xy + -0.6·x + 0.74·y + -0.05)
P(MC),P(ISC|MC),0.5388,P(-C|-B),(0.52·x + 0.14)/(0.83·x + 0.15),(-0.44·x + 0.61)/(0.0·x + 0.66),(0.08·xy + 0.33·x + -0.52.y + 0.05) / (-0.01·xy + 0.4·x + -0.67·y + 0.07)
P(MC),P(ISC|MC),0.5388,P(SH|-B),(0.39·x + -0.34)/(0.65·x + -0.56),(0.3·x + 0.42)/(0.51·x + 0.69),(0.25·xy + 0.32·x + 0.27.y + -0.17) / (0.41·xy + 0.53·x + 0.45·y + -0.29)
P(MC),P(ISC|MC),0.5388,P(-SH|-B),(-0.36·x + -0.08)/(-0.9·x + -0.21),(0.25·x + -0.27)/(0.62·x + -0.69),(0.13·xy + 0.1·x + -0.1.y + 0.32) / (0.32·xy + 0.25·x + -0.24·y + 0.8)
P(MC),P(ISC|MC),0.5388,P(CT|-B),(0.09·x + -0.03)/(0.94·x + -0.32),(-0.09·x + 0.04)/(-0.92·x + 0.38),(0.0·xy + -0.01·x + 0.01.y + 0.1) / (0.01·xy + -0.1·x + 0.13·y + 0.98)
P(MC),P(ISC|MC),0.5388,P(-CT|-B),(0.66·x + 0.12)/(0.73·x + 0.13),(-0.66·x + 0.12)/(-0.73·x + 0.13),(0.07·xy + 0.06·x + -0.5.y + 0.43) / (0.08·xy + 0.06·x + -0.56·y + 0.48)
P(MC),P(-ISC|MC),0.5388,P(C|-B),(0.11·x + 0.04)/(0.98·x + 0.16),(-0.18·x + -0.01)/(-0.98·x + -0.01),(0.18·xy + -0.01·x + -0.11.y + 0.02) / (0.83·xy + -0.11·x + -0.49·y + 0.1)
P(MC),P(-ISC|MC),0.5388,P(-C|-B),(-0.32·x + 0.59)/(-0.12·x + 0.73),(-0.42·x + -0.34)/(0.0·x + -0.84),(-0.34·xy + -0.05·x + 0.4.y + 0.09) / (-0.63·xy + 0.07·x + 0.55·y + 0.11)
P(MC),P(-ISC|MC),0.5388,P(SH|-B),(-0.0·x + -0.51)/(-0.0·x + -0.86),(-0.02·x + 0.51)/(-0.03·x + 0.86),(-0.39·xy + 0.29·x + 0.01.y + -0.18) / (-0.64·xy + 0.48·x + 0.02·y + -0.3)
P(MC),P(-ISC|MC),0.5388,P(-SH|-B),(-0.19·x + 0.32)/(-0.47·x + 0.8),(-0.36·x + -0.07)/(-0.91·x + -0.18),(-0.04·xy + -0.33·x + 0.04.y + -0.16) / (-0.1·xy + -0.83·x + 0.11·y + -0.4)
