Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(ISC|MC),0.9375,P(C|B),(-0.02·x + -0.2)/(-0.93·x + -0.31),(0.58·x + 0.12)/(-0.0·x + 0.8),(0.1·xy + -0.34·x + 0.48.y + 0.21) / (-0.1·xy + -0.36·x + 0.44·y + 0.52)
P(MC),P(ISC|MC),0.9375,P(-C|B),(0.3·x + -0.11)/(0.89·x + -0.32),(-0.48·x + 0.57)/(-0.0·x + 0.67),(-0.21·xy + -0.09·x + -0.01.y + 0.26) / (-0.63·xy + -0.32·x + 0.37·y + 0.5)
P(MC),P(ISC|MC),0.9375,P(SH|B),(0.61·x + -0.14)/(0.76·x + -0.17),(-0.59·x + 0.21)/(-0.73·x + 0.27),(0.1·xy + -0.21·x + 0.14.y + 0.56) / (0.13·xy + -0.26·x + 0.18·y + 0.7)
P(MC),P(ISC|MC),0.9375,P(-SH|B),(0.2·x + -0.02)/(0.98·x + -0.1),(0.16·x + 0.11)/(0.81·x + 0.55),(0.02·xy + 0.14·x + 0.07.y + -0.11) / (0.1·xy + 0.7·x + 0.37·y + -0.57)
P(MC),P(ISC|MC),0.9375,P(CT|B),(0.48·x + -0.5)/(0.5·x + -0.52),(0.68·x + 0.13)/(0.71·x + 0.13),(0.26·xy + 0.12·x + -0.32.y + -0.54) / (0.28·xy + 0.13·x + -0.33·y + -0.57)
P(MC),P(ISC|MC),0.9375,P(-CT|B),(-0.03·x + -0.04)/(-0.53·x + -0.85),(0.05·x + -0.02)/(0.93·x + -0.37),(0.01·xy + 0.01·x + -0.02.y + 0.05) / (0.13·xy + 0.12·x + -0.32·y + 0.93)
P(MC),P(-ISC|MC),0.9375,P(C|B),(0.02·x + 0.2)/(0.93·x + 0.31),(-0.5·x + 0.58)/(0.0·x + 0.64),(-0.21·xy + -0.21·x + -0.16.y + 0.51) / (-0.17·xy + -0.36·x + 0.02·y + 0.68)
P(MC),P(-ISC|MC),0.9375,P(-C|B),(-0.68·x + -0.08)/(-0.69·x + -0.23),(-0.61·x + -0.08)/(-0.0·x + -0.79),(0.3·xy + -0.11·x + -0.36.y + 0.03) / (0.69·xy + -0.3·x + -0.44·y + -0.08)
P(MC),P(-ISC|MC),0.9375,P(SH|B),(-0.43·x + -0.45)/(-0.54·x + -0.56),(0.03·x + 0.62)/(0.04·x + 0.78),(-0.06·xy + -0.6·x + 0.15.y + 0.01) / (-0.07·xy + -0.76·x + 0.18·y + 0.01)
P(MC),P(-ISC|MC),0.9375,P(-SH|B),(0.19·x + -0.05)/(0.95·x + -0.24),(-0.12·x + 0.16)/(-0.58·x + 0.79),(-0.06·xy + 0.02·x + -0.18.y + -0.04) / (-0.31·xy + 0.08·x + -0.91·y + -0.18)
