Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(ISC|MC),0.5426,P(B|-CT),(-0.31·x + -0.64)/(-0.31·x + -0.64),(-0.71·x + 0.02)/(-0.71·x + 0.02),(-0.2·xy + -0.2·x + -0.65.y + -0.01) / (-0.2·xy + -0.2·x + -0.65·y + -0.01)
P(MC),P(ISC|MC),0.5426,P(-B|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|MC),0.5426,P(C|-CT),(0.7·x + 0.04)/(0.68·x + 0.23),(0.61·x + 0.08)/(-0.0·x + 0.79),(-0.17·xy + -0.01·x + -0.11.y + 0.12) / (-0.14·xy + -0.04·x + -0.71·y + 0.65)
P(MC),P(ISC|MC),0.5426,P(-C|-CT),(0.52·x + 0.36)/(0.63·x + 0.44),(0.4·x + -0.6)/(0.0·x + -0.69),(0.29·xy + 0.26·x + -0.07.y + -0.3) / (0.71·xy + 0.27·x + -0.27·y + -0.34)
P(MC),P(ISC|MC),0.5426,P(SH|-CT),(0.6·x + -0.18)/(0.75·x + -0.22),(-0.59·x + 0.21)/(-0.73·x + 0.27),(-0.4·xy + 0.34·x + -0.34.y + 0.05) / (-0.49·xy + 0.42·x + -0.43·y + 0.07)
P(MC),P(ISC|MC),0.5426,P(-SH|-CT),(0.18·x + -0.07)/(0.92·x + -0.34),(-0.1·x + 0.17)/(-0.51·x + 0.84),(0.14·xy + -0.14·x + 0.01.y + 0.0) / (0.7·xy + -0.68·x + 0.03·y + 0.01)
P(MC),P(-ISC|MC),0.5426,P(B|-CT),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.66·x + -0.24)/(-0.66·x + -0.24),(-0.7·xy + -0.09·x + 0.06.y + 0.0) / (-0.7·xy + -0.09·x + 0.06·y + 0.0)
P(MC),P(-ISC|MC),0.5426,P(-B|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|MC),0.5426,P(C|-CT),(-0.61·x + -0.04)/(-0.75·x + -0.25),(-0.43·x + 0.52)/(0.0·x + 0.74),(0.18·xy + 0.11·x + -0.29.y + 0.04) / (0.69·xy + 0.04·x + -0.62·y + 0.12)
P(MC),P(-ISC|MC),0.5426,P(-C|-CT),(0.16·x + 0.25)/(0.91·x + 0.3),(-0.61·x + -0.09)/(-0.0·x + -0.79),(-0.19·xy + -0.21·x + 0.49.y + 0.27) / (-0.22·xy + -0.15·x + 0.04·y + 0.73)
P(MC),P(-ISC|MC),0.5426,P(SH|-CT),(-0.22·x + -0.58)/(-0.28·x + -0.73),(-0.09·x + 0.62)/(-0.12·x + 0.77),(0.13·xy + 0.5·x + -0.26.y + -0.24) / (0.16·xy + 0.62·x + -0.32·y + -0.3)
P(MC),P(-ISC|MC),0.5426,P(-SH|-CT),(0.2·x + -0.02)/(0.98·x + -0.1),(-0.2·x + -0.0)/(-0.98·x + -0.02),(-0.14·xy + 0.08·x + 0.11.y + 0.03) / (-0.69·xy + 0.38·x + 0.55·y + 0.17)
P(MC),P(ISC|-MC),0.5426,P(B|-CT),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.67·xy + 0.0·x + -0.22.y + 0.03) / (0.67·xy + 0.0·x + -0.22·y + 0.03)
P(MC),P(ISC|-MC),0.5426,P(-B|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(ISC|-MC),0.5426,P(C|-CT),(0.18·x + -0.34)/(0.44·x + -0.81),(-0.4·x + 0.01)/(-0.92·x + 0.01),(0.15·xy + 0.1·x + 0.26.y + -0.22) / (0.55·xy + 0.09·x + 0.54·y + -0.5)
P(MC),P(ISC|-MC),0.5426,P(-C|-CT),(0.5·x + 0.07)/(0.86·x + 0.12),(-0.49·x + -0.0)/(-0.87·x + -0.0),(-0.36·xy + 0.06·x + -0.28.y + -0.04) / (-0.18·xy + -0.0·x + -0.87·y + 0.02)
P(MC),P(ISC|-MC),0.5426,P(SH|-CT),(0.42·x + 0.47)/(0.52·x + 0.58),(0.56·x + -0.27)/(0.7·x + -0.34),(-0.07·xy + 0.36·x + 0.19.y + -0.47) / (-0.08·xy + 0.45·x + 0.23·y + -0.58)
P(MC),P(ISC|-MC),0.5426,P(-SH|-CT),(0.18·x + -0.08)/(0.9·x + -0.39),(0.18·x + -0.08)/(0.9·x + -0.39),(0.19·xy + 0.0·x + 0.06.y + -0.0) / (0.94·xy + 0.02·x + 0.29·y + -0.02)
P(MC),P(-ISC|-MC),0.5426,P(B|-CT),(0.67·x + -0.23)/(0.67·x + -0.23),(-0.68·x + 0.18)/(-0.68·x + 0.18),(-0.28·xy + 0.54·x + 0.3.y + 0.19) / (-0.28·xy + 0.54·x + 0.3·y + 0.19)
P(MC),P(-ISC|-MC),0.5426,P(-B|-CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(MC),P(-ISC|-MC),0.5426,P(C|-CT),(-0.27·x + 0.46)/(-0.28·x + 0.8),(-0.31·x + -0.05)/(-0.95·x + -0.04),(-0.16·xy + -0.07·x + -0.28.y + 0.11) / (-0.09·xy + -0.12·x + -0.9·y + 0.23)
P(MC),P(-ISC|-MC),0.5426,P(-C|-CT),(0.48·x + 0.14)/(0.83·x + 0.24),(0.52·x + -0.03)/(0.85·x + -0.03),(0.18·xy + -0.01·x + -0.61.y + 0.16) / (-0.09·xy + 0.18·x + -0.72·y + 0.11)
P(MC),P(-ISC|-MC),0.5426,P(SH|-CT),(0.62·x + 0.09)/(0.77·x + 0.11),(0.52·x + -0.34)/(0.65·x + -0.43),(0.2·xy + -0.58·x + -0.05.y + -0.09) / (0.25·xy + -0.73·x + -0.06·y + -0.11)
P(MC),P(-ISC|-MC),0.5426,P(-SH|-CT),(0.13·x + 0.15)/(0.66·x + 0.73),(-0.14·x + -0.14)/(-0.71·x + -0.68),(-0.12·xy + 0.02·x + 0.01.y + 0.15) / (-0.61·xy + 0.08·x + 0.04·y + 0.76)
