Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(MC),P(B|MC),0.5049,P(ISC|CT),(0.21·x + 0.27)/(0.89·x + 0.3),(-0.19·x + 0.51)/(-0.02·x + 0.84),(-0.21·xy + -0.05·x + 0.36.y + -0.38) / (0.09·xy + -0.65·x + 0.29·y + -0.41)
P(MC),P(B|MC),0.5049,P(-ISC|CT),(0.55·x + 0.01)/(0.82·x + 0.12),(0.05·x + 0.46)/(-0.05·x + 0.89),(0.29·xy + -0.28·x + 0.01.y + -0.11) / (-0.14·xy + 0.06·x + 0.6·y + -0.67)
P(MC),P(B|MC),0.5049,P(C|CT),(0.65·x + 0.16)/(0.72·x + 0.17),(-0.49·x + 0.46)/(-0.54·x + 0.51),(-0.5·xy + 0.01·x + 0.09.y + 0.44) / (-0.55·xy + 0.01·x + 0.1·y + 0.49)
P(MC),P(B|MC),0.5049,P(-C|CT),(0.03·x + 0.09)/(0.32·x + 0.94),(-0.01·x + 0.1)/(-0.11·x + 0.99),(-0.04·xy + -0.02·x + 0.06.y + -0.07) / (-0.43·xy + -0.15·x + 0.58·y + -0.67)
P(MC),P(B|MC),0.5049,P(SH|CT),(-0.59·x + 0.21)/(-0.73·x + 0.27),(0.28·x + 0.56)/(0.35·x + 0.7),(-0.03·xy + -0.03·x + -0.61.y + -0.13) / (-0.03·xy + -0.04·x + -0.76·y + -0.16)
P(MC),P(B|MC),0.5049,P(-SH|CT),(0.15·x + 0.12)/(0.76·x + 0.62),(0.19·x + -0.05)/(0.95·x + -0.24),(0.08·xy + 0.01·x + 0.16.y + -0.07) / (0.4·xy + 0.04·x + 0.81·y + -0.37)
P(MC),P(-B|MC),0.5049,P(ISC|CT),(0.06·x + -0.54)/(-0.6·x + -0.6),(0.29·x + 0.26)/(0.64·x + 0.66),(-0.06·xy + 0.18·x + 0.34.y + -0.3) / (0.21·xy + 0.17·x + 0.62·y + -0.55)
P(MC),P(-B|MC),0.5049,P(-ISC|CT),(-0.53·x + -0.0)/(-0.85·x + -0.05),(-0.28·x + -0.37)/(-0.66·x + -0.59),(0.01·xy + 0.37·x + 0.15.y + -0.26) / (0.64·xy + 0.47·x + -0.23·y + -0.31)
P(MC),P(-B|MC),0.5049,P(C|CT),(-0.66·x + 0.08)/(-0.74·x + 0.08),(-0.55·x + 0.39)/(-0.61·x + 0.43),(-0.04·xy + -0.56·x + -0.31.y + -0.19) / (-0.05·xy + -0.62·x + -0.34·y + -0.21)
P(MC),P(-B|MC),0.5049,P(-C|CT),(0.01·x + 0.1)/(0.07·x + 0.99),(0.1·x + 0.0)/(0.99·x + 0.04),(-0.01·xy + 0.06·x + -0.04.y + -0.06) / (-0.13·xy + 0.65·x + -0.38·y + -0.64)
P(MC),P(-B|MC),0.5049,P(SH|CT),(0.62·x + -0.09)/(0.77·x + -0.12),(-0.09·x + 0.62)/(-0.12·x + 0.77),(-0.12·xy + -0.33·x + -0.51.y + -0.1) / (-0.15·xy + -0.41·x + -0.63·y + -0.13)
P(MC),P(-B|MC),0.5049,P(-SH|CT),(-0.19·x + -0.05)/(-0.95·x + -0.26),(-0.06·x + 0.19)/(-0.32·x + 0.93),(0.07·xy + 0.06·x + 0.01.y + 0.18) / (0.33·xy + 0.29·x + 0.03·y + 0.88)
P(MC),P(B|-MC),0.5049,P(ISC|CT),(-0.18·x + 0.48)/(-0.01·x + 0.86),(-0.11·x + 0.38)/(-0.46·x + 0.79),(0.12·xy + 0.22·x + -0.36.y + -0.42) / (-0.36·xy + 0.13·x + -0.12·y + -0.69)
P(MC),P(B|-MC),0.5049,P(-ISC|CT),(-0.45·x + -0.09)/(0.0·x + -0.89),(-0.41·x + 0.17)/(-0.84·x + 0.32),(0.43·xy + 0.22·x + -0.2.y + 0.25) / (0.25·xy + -0.01·x + 0.2·y + 0.75)
P(MC),P(B|-MC),0.5049,P(C|CT),(0.62·x + 0.24)/(0.69·x + 0.27),(-0.65·x + 0.14)/(-0.73·x + 0.16),(-0.11·xy + -0.2·x + 0.21.y + -0.59) / (-0.12·xy + -0.23·x + 0.24·y + -0.66)
