Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(MC),0.6375,P(ISC|C),(0.68·x + -0.01)/(0.74·x + -0.01),(0.64·x + -0.21)/(0.7·x + -0.23),(-0.03·xy + -0.67·x + 0.04.y + 0.09) / (-0.03·xy + -0.73·x + 0.04·y + 0.1)
P(B|-MC),P(MC),0.6375,P(-ISC|C),(-0.05·x + 0.06)/(-0.65·x + 0.76),(0.05·x + -0.06)/(0.59·x + -0.8),(0.06·xy + 0.01·x + -0.05.y + 0.01) / (0.7·xy + 0.13·x + -0.68·y + 0.17)
P(B|-MC),P(MC),0.6375,P(SH|C),(0.07·x + 0.08)/(0.65·x + 0.75),(-0.09·x + -0.05)/(-0.87·x + -0.49),(-0.04·xy + -0.04·x + 0.06.y + 0.06) / (-0.39·xy + -0.35·x + 0.58·y + 0.62)
P(B|-MC),P(MC),0.6375,P(-SH|C),(-0.49·x + 0.46)/(-0.54·x + 0.51),(0.64·x + 0.2)/(0.71·x + 0.23),(-0.15·xy + -0.3·x + 0.44.y + 0.38) / (-0.17·xy + -0.33·x + 0.48·y + 0.43)
P(B|-MC),P(MC),0.6375,P(CT|C),(0.69·x + -0.14)/(0.69·x + -0.14),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.58·xy + 0.35·x + 0.16.y + -0.13) / (-0.58·xy + 0.35·x + 0.16·y + -0.13)
P(B|-MC),P(MC),0.6375,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-MC),0.6375,P(ISC|C),(0.55·x + 0.39)/(0.6·x + 0.42),(-0.13·x + -0.66)/(-0.14·x + -0.72),(0.39·xy + 0.5·x + -0.01.y + 0.24) / (0.43·xy + 0.54·x + -0.01·y + 0.26)
P(B|-MC),P(-MC),0.6375,P(-ISC|C),(-0.05·x + -0.06)/(-0.62·x + -0.78),(0.01·x + 0.08)/(0.12·x + 0.99),(0.06·xy + 0.01·x + -0.02.y + -0.05) / (0.72·xy + 0.11·x + -0.2·y + -0.65)
P(B|-MC),P(-MC),0.6375,P(SH|C),(0.1·x + -0.03)/(0.96·x + -0.28),(-0.05·x + -0.09)/(-0.48·x + -0.87),(-0.02·xy + -0.09·x + -0.02.y + -0.01) / (-0.23·xy + -0.93·x + -0.24·y + -0.11)
P(B|-MC),P(-MC),0.6375,P(-SH|C),(-0.66·x + 0.08)/(-0.74·x + 0.08),(0.4·x + -0.53)/(0.45·x + -0.59),(0.04·xy + 0.14·x + -0.25.y + -0.6) / (0.05·xy + 0.15·x + -0.28·y + -0.67)
P(B|-MC),P(-MC),0.6375,P(CT|C),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.7·x + 0.07)/(0.7·x + 0.07),(-0.64·xy + -0.29·x + -0.05.y + -0.04) / (-0.64·xy + -0.29·x + -0.05·y + -0.04)
P(B|-MC),P(-MC),0.6375,P(-CT|C),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(MC),0.6375,P(ISC|C),(0.61·x + 0.3)/(0.66·x + 0.33),(-0.61·x + 0.29)/(-0.67·x + 0.31),(0.21·xy + -0.32·x + -0.03.y + -0.56) / (0.23·xy + -0.35·x + -0.03·y + -0.61)
P(-B|-MC),P(MC),0.6375,P(-ISC|C),(0.02·x + -0.08)/(0.27·x + -0.96),(-0.06·x + 0.05)/(-0.77·x + 0.63),(0.01·xy + -0.05·x + 0.05.y + 0.03) / (0.08·xy + -0.68·x + 0.63·y + 0.36)
P(-B|-MC),P(MC),0.6375,P(SH|C),(-0.06·x + 0.08)/(-0.59·x + 0.8),(0.09·x + -0.03)/(0.94·x + -0.32),(0.04·xy + 0.01·x + -0.01.y + 0.09) / (0.43·xy + 0.15·x + -0.14·y + 0.88)
P(-B|-MC),P(MC),0.6375,P(-SH|C),(-0.05·x + 0.67)/(-0.05·x + 0.74),(0.48·x + -0.46)/(0.54·x + -0.51),(-0.11·xy + 0.26·x + -0.01.y + -0.61) / (-0.12·xy + 0.29·x + -0.01·y + -0.67)
