Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(C|B^ISC),0.7059,P(MC|-ISC),(-0.07·x + 0.06)/(-0.01·x + 1.0),(-0.01·x + -0.0)/(-0.9·x + -0.43),(-0.14·xy + 0.01·x + 0.1.y + 0.01) / (-0.0·xy + -0.01·x + 0.6·y + 0.78)
P(B|-MC),P(C|B^ISC),0.7059,P(-MC|-ISC),(0.02·x + 0.68)/(-0.03·x + 0.73),(0.38·x + 0.59)/(0.39·x + 0.6),(0.04·xy + -0.0·x + 0.38.y + 0.57) / (-0.05·xy + -0.0·x + 0.46·y + 0.57)
P(B|-MC),P(C|B^ISC),0.7059,P(SH|-ISC),(-0.09·x + -0.05)/(-0.88·x + -0.46),(-0.04·x + -0.09)/(-0.38·x + -0.92),(0.09·xy + 0.04·x + 0.0.y + -0.02) / (0.9·xy + 0.37·x + 0.01·y + -0.21)
P(B|-MC),P(C|B^ISC),0.7059,P(-SH|-ISC),(-0.66·x + 0.08)/(-0.74·x + 0.08),(0.65·x + 0.16)/(0.72·x + 0.17),(0.02·xy + -0.4·x + -0.22.y + 0.49) / (0.02·xy + -0.44·x + -0.24·y + 0.55)
P(B|-MC),P(C|B^ISC),0.7059,P(CT|-ISC),(0.71·x + -0.04)/(0.71·x + -0.04),(0.71·x + -0.04)/(0.71·x + -0.04),(-0.7·xy + 0.03·x + 0.09.y + 0.03) / (-0.7·xy + 0.03·x + 0.09·y + 0.03)
P(B|-MC),P(C|B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.7059,P(MC|-ISC),(-0.07·x + 0.06)/(-0.01·x + 1.0),(0.0·x + -0.01)/(0.1·x + -0.99),(-0.08·xy + -0.07·x + 0.03.y + 0.07) / (-0.0·xy + -0.01·x + 0.25·y + 0.96)
P(B|-MC),P(-C|B^ISC),0.7059,P(-MC|-ISC),(0.02·x + 0.68)/(-0.03·x + 0.73),(-0.2·x + -0.65)/(-0.22·x + -0.7),(0.02·xy + 0.01·x + 0.41.y + 0.55) / (-0.02·xy + -0.02·x + 0.44·y + 0.58)
P(B|-MC),P(-C|B^ISC),0.7059,P(SH|-ISC),(-0.01·x + 0.1)/(-0.11·x + 0.99),(0.08·x + 0.06)/(0.78·x + 0.61),(0.06·xy + -0.08·x + -0.01.y + 0.01) / (0.56·xy + -0.8·x + -0.12·y + 0.11)
P(B|-MC),P(-C|B^ISC),0.7059,P(-SH|-ISC),(0.66·x + -0.11)/(0.73·x + -0.12),(-0.63·x + -0.22)/(-0.7·x + -0.24),(-0.36·xy + 0.27·x + 0.13.y + 0.48) / (-0.39·xy + 0.3·x + 0.14·y + 0.54)
P(B|-MC),P(-C|B^ISC),0.7059,P(CT|-ISC),(-0.71·x + 0.02)/(-0.71·x + 0.02),(0.71·x + 0.02)/(0.71·x + 0.02),(-0.55·xy + 0.3·x + -0.27.y + -0.2) / (-0.55·xy + 0.3·x + -0.27·y + -0.2)
P(B|-MC),P(-C|B^ISC),0.7059,P(-CT|-ISC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.7059,P(MC|-ISC),(0.07·x + -0.06)/(0.01·x + -1.0),(-0.0·x + 0.01)/(-0.49·x + 0.87),(-0.15·xy + -0.0·x + 0.1.y + 0.01) / (-0.0·xy + -0.01·x + 0.58·y + 0.79)
P(B|-MC),P(C|B^-ISC),0.7059,P(-MC|-ISC),(0.02·x + 0.68)/(-0.03·x + 0.73),(-0.44·x + -0.55)/(-0.44·x + -0.56),(0.03·xy + 0.02·x + 0.37.y + 0.57) / (-0.03·xy + -0.02·x + 0.41·y + 0.61)
