Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(B|-MC),P(C|B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^ISC),0.6,P(-ISC|-MC),(0.69·x + -0.14)/(0.69·x + -0.14),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.49·xy + 0.15·x + -0.47.y + -0.12) / (-0.49·xy + 0.15·x + -0.47·y + -0.12)
P(B|-MC),P(C|B^ISC),0.6,P(SH|-MC),(0.1·x + -0.02)/(0.97·x + -0.24),(0.09·x + -0.03)/(0.94·x + -0.32),(0.08·xy + 0.03·x + 0.01.y + 0.04) / (0.82·xy + 0.33·x + 0.1·y + 0.44)
P(B|-MC),P(C|B^ISC),0.6,P(-SH|-MC),(-0.49·x + 0.46)/(-0.54·x + 0.51),(-0.36·x + -0.56)/(-0.4·x + -0.62),(-0.23·xy + 0.39·x + -0.05.y + 0.49) / (-0.26·xy + 0.43·x + -0.05·y + 0.54)
P(B|-MC),P(C|B^ISC),0.6,P(CT|-MC),(0.68·x + -0.19)/(0.68·x + -0.19),(0.7·x + -0.1)/(0.7·x + -0.1),(-0.11·xy + 0.67·x + -0.12.y + -0.14) / (-0.11·xy + 0.67·x + -0.12·y + -0.14)
P(B|-MC),P(C|B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^ISC),0.6,P(-ISC|-MC),(0.52·x + -0.48)/(0.52·x + -0.48),(0.7·x + 0.06)/(0.7·x + 0.06),(0.08·xy + -0.68·x + 0.1.y + 0.14) / (0.08·xy + -0.68·x + 0.1·y + 0.14)
P(B|-MC),P(-C|B^ISC),0.6,P(SH|-MC),(-0.05·x + -0.09)/(-0.51·x + -0.85),(0.1·x + 0.0)/(0.99·x + 0.04),(-0.09·xy + -0.04·x + 0.02.y + -0.01) / (-0.87·xy + -0.43·x + 0.2·y + -0.08)
P(B|-MC),P(-C|B^ISC),0.6,P(-SH|-MC),(-0.66·x + 0.08)/(-0.74·x + 0.08),(-0.05·x + 0.67)/(-0.05·x + 0.74),(-0.47·xy + 0.16·x + -0.42.y + -0.15) / (-0.52·xy + 0.17·x + -0.47·y + -0.17)
P(B|-MC),P(-C|B^ISC),0.6,P(CT|-MC),(-0.31·x + -0.63)/(-0.31·x + -0.63),(0.7·x + 0.06)/(0.7·x + 0.06),(0.01·xy + -0.66·x + -0.08.y + 0.25) / (0.01·xy + -0.66·x + -0.08·y + 0.25)
P(B|-MC),P(-C|B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|B^-ISC),0.6,P(-ISC|-MC),(-0.7·x + -0.09)/(-0.7·x + -0.09),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.16·xy + -0.5·x + 0.46.y + -0.13) / (0.16·xy + -0.5·x + 0.46·y + -0.13)
P(B|-MC),P(C|B^-ISC),0.6,P(SH|-MC),(-0.04·x + -0.09)/(-0.38·x + -0.92),(-0.09·x + 0.05)/(-0.87·x + 0.49),(0.03·xy + -0.02·x + 0.05.y + -0.08) / (0.29·xy + -0.15·x + 0.52·y + -0.78)
P(B|-MC),P(C|B^-ISC),0.6,P(-SH|-MC),(-0.66·x + 0.12)/(-0.73·x + 0.13),(0.25·x + -0.62)/(0.28·x + -0.69),(-0.27·xy + 0.27·x + 0.05.y + 0.54) / (-0.31·xy + 0.3·x + 0.05·y + 0.61)
P(B|-MC),P(C|B^-ISC),0.6,P(CT|-MC),(0.69·x + 0.16)/(0.69·x + 0.16),(0.7·x + -0.12)/(0.7·x + -0.12),(0.7·xy + 0.04·x + 0.04.y + -0.01) / (0.7·xy + 0.04·x + 0.04·y + -0.01)
P(B|-MC),P(C|B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|B^-ISC),0.6,P(-ISC|-MC),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.24·xy + -0.61·x + -0.04.y + -0.27) / (0.24·xy + -0.61·x + -0.04·y + -0.27)
P(B|-MC),P(-C|B^-ISC),0.6,P(SH|-MC),(0.01·x + 0.1)/(0.05·x + 0.99),(-0.1·x + -0.01)/(-0.99·x + -0.05),(-0.07·xy + 0.07·x + -0.0.y + -0.0) / (-0.73·xy + 0.67·x + -0.02·y + -0.01)
P(B|-MC),P(-C|B^-ISC),0.6,P(-SH|-MC),(-0.65·x + 0.15)/(-0.72·x + 0.17),(0.08·x + 0.66)/(0.08·x + 0.74),(0.22·xy + -0.62·x + 0.13.y + 0.02) / (0.24·xy + -0.69·x + 0.14·y + 0.02)
P(B|-MC),P(-C|B^-ISC),0.6,P(CT|-MC),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.71·x + 0.05)/(-0.71·x + 0.05),(-0.68·xy + -0.2·x + -0.03.y + -0.03) / (-0.68·xy + -0.2·x + -0.03·y + -0.03)
P(B|-MC),P(-C|B^-ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(C|-B^ISC),0.6,P(-ISC|-MC),(0.69·x + -0.14)/(0.69·x + -0.14),(0.52·x + -0.48)/(0.52·x + -0.48),(-0.6·xy + -0.3·x + 0.2.y + -0.12) / (-0.6·xy + -0.3·x + 0.2·y + -0.12)
P(B|-MC),P(C|-B^ISC),0.6,P(SH|-MC),(-0.09·x + -0.04)/(-0.92·x + -0.38),(-0.09·x + 0.04)/(-0.92·x + 0.38),(0.07·xy + 0.02·x + -0.07.y + 0.01) / (0.68·xy + 0.15·x + -0.7·y + 0.09)
P(B|-MC),P(C|-B^ISC),0.6,P(-SH|-MC),(-0.66·x + 0.08)/(-0.74·x + 0.08),(0.64·x + 0.2)/(0.71·x + 0.23),(0.44·xy + 0.19·x + 0.4.y + -0.25) / (0.49·xy + 0.21·x + 0.45·y + -0.27)
P(B|-MC),P(C|-B^ISC),0.6,P(CT|-MC),(0.7·x + -0.1)/(0.7·x + -0.1),(0.68·x + -0.19)/(0.68·x + -0.19),(-0.01·xy + 0.71·x + 0.01.y + -0.0) / (-0.01·xy + 0.71·x + 0.01·y + -0.0)
P(B|-MC),P(C|-B^ISC),0.6,P(-CT|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.6,P(ISC|-MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(B|-MC),P(-C|-B^ISC),0.6,P(-ISC|-MC),(-0.7·x + 0.08)/(-0.7·x + 0.08),(0.7·x + 0.09)/(0.7·x + 0.09),(-0.68·xy + 0.19·x + -0.06.y + -0.0) / (-0.68·xy + 0.19·x + -0.06·y + -0.0)
